"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,3,0.13,1,6.2e-05,0.00033,"MYH6,TNNI3,TNNT2"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,3,0.16,3,1e-04,0.00053,"MYH6,TNNI3,TNNT2"
"GO:0008016","regulation of heart contraction",195,5,0.67,4,3.9e-05,0.00055,"GJD3,KCNH2,MYH6,TNNI3,TNNT2"
"GO:0060048","cardiac muscle contraction",125,4,0.43,8,0.00011,9e-04,"KCNH2,MYH6,TNNI3,TNNT2"
"GO:0001573","ganglioside metabolic process",15,2,0.05,11,4e-04,0.00119,"B4GALNT1,NEU1"
"GO:0032780","negative regulation of ATPase activity",16,2,0.06,14,0.00045,0.00136,"TNNI3,TNNT2"
"GO:0055075","potassium ion homeostasis",23,2,0.08,20,0.00094,0.00282,"ATP4A,KCNH2"
"GO:0140115","export across plasma membrane",28,2,0.1,23,0.0014,0.00417,"ATP4A,KCNH2"
"GO:0015991","ATP hydrolysis coupled proton transport",29,2,0.1,24,0.0015,0.00446,"ATP4A,ATP6V0A1"
"GO:0051452","intracellular pH reduction",34,2,0.12,29,0.00206,0.0061,"ATP6V0A1,CA2"
"GO:0003009","skeletal muscle contraction",41,2,0.14,34,0.00299,0.00878,"TNNI3,TNNT2"
"GO:0045214","sarcomere organization",43,2,0.15,35,0.00328,0.00963,"MYH6,TNNT2"
"GO:0006940","regulation of smooth muscle contraction",55,2,0.19,41,0.00532,0.01542,"NMUR2,TNNI3"
"GO:0036230","granulocyte activation",480,5,1.65,51,0.00241,0.02458,"ATP6V0A1,ENPP3,NEU1,PRG2,PSMA2"
"GO:0042475","odontogenesis of dentin-containing tooth",74,2,0.25,53,0.00945,0.0269,"CA2,FAM20C"
"GO:0019722","calcium-mediated signaling",199,3,0.69,56,0.0071,0.03125,"CALML6,NMUR2,TNNI3"
"GO:0002275","myeloid cell activation involved in immune response",516,5,1.78,57,0.00329,0.0322,"ATP6V0A1,ENPP3,NEU1,PRG2,PSMA2"
"GO:0051899","membrane depolarization",82,2,0.28,58,0.01151,0.03251,"KCNH2,MLLT11"
"GO:0045605","negative regulation of epidermal cell differentiation",10,1,0.03,60,0.01969,0.03394,"CDSN"
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway",10,1,0.03,61,0.01969,0.03394,"DDR1"
"GO:0033004","negative regulation of mast cell activation",10,1,0.03,62,0.01969,0.03394,"ENPP3"
"GO:0061042","vascular wound healing",10,1,0.03,63,0.01969,0.03394,"FOXC2"
"GO:2001225","regulation of chloride transport",10,1,0.03,64,0.01969,0.03394,"CA2"
"GO:0016264","gap junction assembly",10,1,0.03,65,0.01969,0.03394,"GJD3"
"GO:1904181","positive regulation of membrane depolarization",11,1,0.04,68,0.02163,0.03727,"MLLT11"
"GO:0038166","angiotensin-activated signaling pathway",11,1,0.04,69,0.02163,0.03727,"CA2"
"GO:0030007","cellular potassium ion homeostasis",11,1,0.04,70,0.02163,0.03727,"ATP4A"
"GO:0046479","glycosphingolipid catabolic process",11,1,0.04,71,0.02163,0.03727,"NEU1"
"GO:0035672","oligopeptide transmembrane transport",11,1,0.04,72,0.02163,0.03727,"CA2"
"GO:0032230","positive regulation of synaptic transmission, GABAergic",11,1,0.04,73,0.02163,0.03727,"CA2"
"GO:0003334","keratinocyte development",11,1,0.04,74,0.02163,0.03727,"CDSN"
"GO:0002027","regulation of heart rate",89,2,0.31,75,0.01345,0.03775,"KCNH2,MYH6"
"GO:0030316","osteoclast differentiation",90,2,0.31,76,0.01374,0.03853,"CA2,FAM20C"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient",12,1,0.04,77,0.02358,0.04059,"ATP4A"
"GO:0035435","phosphate ion transmembrane transport",12,1,0.04,78,0.02358,0.04059,"ADAMTS8"
"GO:0009143","nucleoside triphosphate catabolic process",12,1,0.04,79,0.02358,0.04059,"ENPP3"
"GO:0032429","regulation of phospholipase A2 activity",12,1,0.04,80,0.02358,0.04059,"NMUR2"
"GO:0007512","adult heart development",12,1,0.04,81,0.02358,0.04059,"MYH6"
"GO:0009313","oligosaccharide catabolic process",12,1,0.04,82,0.02358,0.04059,"NEU1"
"GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization",12,1,0.04,83,0.02358,0.04059,"ROPN1B"
"GO:0036376","sodium ion export across plasma membrane",12,1,0.04,84,0.02358,0.04059,"ATP4A"
"GO:0006857","oligopeptide transport",12,1,0.04,85,0.02358,0.04059,"CA2"
"GO:0019377","glycolipid catabolic process",12,1,0.04,86,0.02358,0.04059,"NEU1"
"GO:0007281","germ cell development",227,3,0.78,88,0.01017,0.04347,"RNF17,ROPN1B,YBX2"
"GO:0038065","collagen-activated signaling pathway",13,1,0.04,89,0.02552,0.0439,"DDR1"
"GO:0045683","negative regulation of epidermis development",13,1,0.04,90,0.02552,0.0439,"CDSN"
"GO:0043252","sodium-independent organic anion transport",14,1,0.05,93,0.02745,0.04719,"SLCO1B1"
"GO:0007216","G protein-coupled glutamate receptor signaling pathway",14,1,0.05,94,0.02745,0.04719,"GRM3"
"GO:0046514","ceramide catabolic process",14,1,0.05,95,0.02745,0.04719,"NEU1"
"GO:0006883","cellular sodium ion homeostasis",14,1,0.05,96,0.02745,0.04719,"ATP4A"
"GO:0061337","cardiac conduction",103,2,0.35,101,0.01774,0.04913,"GJD3,KCNH2"
