"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,6,0.11,1,6.6e-11,1.1e-09,"ACTN3,MYBPC2,MYH4,TNNC2,TNNI2,TNNT3"
"GO:0003009","skeletal muscle contraction",41,5,0.11,3,1.4e-05,9.7e-08,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0006937","regulation of muscle contraction",147,5,0.41,10,0.00148,5.5e-05,"ACTN3,ATP2A1,TNNC2,TNNI2,TNNT3"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.04,13,0.00024,0.00059,"ACTN3,ATP2A1"
"GO:0060047","heart contraction",226,4,0.63,16,7e-04,0.00365,"ATP2A1,NPFF,TNNI2,TNNT3"
"GO:0045214","sarcomere organization",43,2,0.12,18,0.00274,0.00646,"MYBPC2,TNNT3"
"GO:0019730","antimicrobial humoral response",78,2,0.22,21,0.00875,0.02019,"DEFB4A,S100A8"
"GO:0051561","positive regulation of mitochondrial calcium ion concentration",10,1,0.03,22,0.01796,0.02769,"ATP2A1"
"GO:2001198","regulation of dendritic cell differentiation",10,1,0.03,23,0.01796,0.02769,"HLA-G"
"GO:0002523","leukocyte migration involved in inflammatory response",10,1,0.03,24,0.01796,0.02769,"S100A8"
"GO:0014891","striated muscle atrophy",10,1,0.03,25,0.01796,0.02769,"ACTN3"
"GO:0014894","response to denervation involved in regulation of muscle adaptation",10,1,0.03,26,0.01796,0.02769,"ACTN3"
"GO:0014877","response to muscle inactivity involved in regulation of muscle adaptation",10,1,0.03,27,0.01796,0.02769,"ACTN3"
"GO:1904321","response to forskolin",10,1,0.03,28,0.01796,0.02769,"AHR"
"GO:1904322","cellular response to forskolin",10,1,0.03,29,0.01796,0.02769,"AHR"
"GO:0032096","negative regulation of response to food",11,1,0.03,30,0.01974,0.03042,"NPFF"
"GO:0032099","negative regulation of appetite",11,1,0.03,31,0.01974,0.03042,"NPFF"
"GO:0032060","bleb assembly",11,1,0.03,32,0.01974,0.03042,"EMP1"
"GO:0071688","striated muscle myosin thick filament assembly",11,1,0.03,33,0.01974,0.03042,"MYBPC2"
"GO:0061478","response to platelet aggregation inhibitor",11,1,0.03,34,0.01974,0.03042,"AHR"
"GO:0002517","T cell tolerance induction",11,1,0.03,35,0.01974,0.03042,"HLA-G"
"GO:0051657","maintenance of organelle location",11,1,0.03,36,0.01974,0.03042,"ATP2A1"
"GO:0014870","response to muscle inactivity",11,1,0.03,37,0.01974,0.03042,"ACTN3"
"GO:0015671","oxygen transport",11,1,0.03,38,0.01974,0.03042,"HBQ1"
"GO:0030241","skeletal muscle myosin thick filament assembly",11,1,0.03,39,0.01974,0.03042,"MYBPC2"
"GO:0002475","antigen processing and presentation via MHC class Ib",12,1,0.03,41,0.02152,0.03314,"HLA-G"
"GO:0031034","myosin filament assembly",12,1,0.03,42,0.02152,0.03314,"MYBPC2"
