"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,3,0.14,2,6.8e-05,0.00034,"MYH6,TNNI3,TNNT2"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,3,0.16,4,0.00011,0.00056,"MYH6,TNNI3,TNNT2"
"GO:0008016","regulation of heart contraction",195,5,0.68,5,4.5e-05,6e-04,"GJD3,KCNH2,MYH6,TNNI3,TNNT2"
"GO:0006940","regulation of smooth muscle contraction",55,3,0.19,9,0.00019,0.00094,"NMUR2,PTGS2,TNNI3"
"GO:0060048","cardiac muscle contraction",125,4,0.44,10,0.00012,0.00096,"KCNH2,MYH6,TNNI3,TNNT2"
"GO:0001573","ganglioside metabolic process",15,2,0.05,13,0.00042,0.00123,"B4GALNT1,NEU1"
"GO:0032780","negative regulation of ATPase activity",16,2,0.06,16,0.00048,0.0014,"TNNI3,TNNT2"
"GO:0071498","cellular response to fluid shear stress",18,2,0.06,21,0.00061,0.00178,"CA2,PTGS2"
"GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis",21,2,0.07,25,0.00083,0.00243,"FOXC2,PTGS2"
"GO:0055075","potassium ion homeostasis",23,2,0.08,26,0.001,0.00291,"ATP4A,KCNH2"
"GO:1990776","response to angiotensin",24,2,0.08,29,0.00109,0.00317,"CA2,PTGS2"
"GO:0140115","export across plasma membrane",28,2,0.1,31,0.00148,0.0043,"ATP4A,KCNH2"
"GO:0015991","ATP hydrolysis coupled proton transport",29,2,0.1,34,0.00159,0.00461,"ATP4A,ATP6V0A1"
"GO:0051452","intracellular pH reduction",34,2,0.12,40,0.00219,0.0063,"ATP6V0A1,CA2"
"GO:0003009","skeletal muscle contraction",41,2,0.14,47,0.00317,0.00907,"TNNI3,TNNT2"
"GO:0045214","sarcomere organization",43,2,0.15,48,0.00348,0.00994,"MYH6,TNNT2"
"GO:0031214","biomineral tissue development",133,3,0.47,49,0.0025,0.01136,"FAM20C,FAM83H,PTGS2"
"GO:0007566","embryo implantation",49,2,0.17,50,0.00449,0.01278,"DDR1,PTGS2"
"GO:0008217","regulation of blood pressure",154,3,0.54,56,0.00378,0.0168,"MYH6,PTGS2,TNNI3"
"GO:0051966","regulation of synaptic transmission, glutamatergic",61,2,0.21,61,0.00689,0.01936,"GRM3,PTGS2"
"GO:0001659","temperature homeostasis",165,3,0.58,62,0.00459,0.02014,"FOXC2,PTGS2,YBX2"
"GO:0022617","extracellular matrix disassembly",68,2,0.24,67,0.0085,0.02372,"DDR1,LCP1"
"GO:0042475","odontogenesis of dentin-containing tooth",74,2,0.26,70,0.01,0.02776,"CA2,FAM20C"
"GO:0019722","calcium-mediated signaling",199,3,0.7,74,0.0077,0.03262,"CALML6,NMUR2,TNNI3"
"GO:0051899","membrane depolarization",82,2,0.29,75,0.01217,0.03353,"KCNH2,MLLT11"
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway",10,1,0.04,78,0.02026,0.0345,"DDR1"
"GO:2001225","regulation of chloride transport",10,1,0.04,79,0.02026,0.0345,"CA2"
"GO:0033004","negative regulation of mast cell activation",10,1,0.04,80,0.02026,0.0345,"ENPP3"
"GO:0016264","gap junction assembly",10,1,0.04,81,0.02026,0.0345,"GJD3"
"GO:0031652","positive regulation of heat generation",10,1,0.04,82,0.02026,0.0345,"PTGS2"
"GO:0019371","cyclooxygenase pathway",10,1,0.04,83,0.02026,0.0345,"PTGS2"
"GO:0045605","negative regulation of epidermal cell differentiation",10,1,0.04,84,0.02026,0.0345,"CDSN"
"GO:0061042","vascular wound healing",10,1,0.04,85,0.02026,0.0345,"FOXC2"
"GO:0030007","cellular potassium ion homeostasis",11,1,0.04,89,0.02226,0.03789,"ATP4A"
"GO:0038166","angiotensin-activated signaling pathway",11,1,0.04,90,0.02226,0.03789,"CA2"
