"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0030049","muscle filament sliding",39,5,0.11,1,9e-09,6.7e-08,"ACTA1,MYH2,MYH7,MYL3,TNNC2"
"GO:0006941","striated muscle contraction",162,5,0.44,7,0.042,7.9e-05,"ATP2A1,MYH7,MYL3,PDE4D,TNNC2"
"GO:0006942","regulation of striated muscle contraction",85,4,0.23,8,0.00703,8.6e-05,"ATP2A1,MYH7,MYL3,PDE4D"
"GO:0003009","skeletal muscle contraction",41,3,0.11,10,0.04797,0.00019,"ATP2A1,MYH7,TNNC2"
"GO:0014819","regulation of skeletal muscle contraction",13,2,0.04,14,0.00026,0.00056,"ATP2A1,MYH7"
"GO:0051235","maintenance of location",301,5,0.83,16,0.00725,0.00136,"ACACB,ATP2A1,CLMN,NTSR1,PDE4D"
"GO:0034123","positive regulation of toll-like receptor signaling pathway",21,2,0.06,18,0.00069,0.0015,"MFHAS1,TLR9"
"GO:0043501","skeletal muscle adaptation",25,2,0.07,20,0.00099,0.00212,"ACTA1,MYH7"
"GO:0090075","relaxation of muscle",26,2,0.07,21,0.00107,0.0023,"ATP2A1,PDE4D"
"GO:1900745","positive regulation of p38MAPK cascade",26,2,0.07,22,0.00107,0.0023,"GDF6,MFHAS1"
"GO:0002026","regulation of the force of heart contraction",28,2,0.08,24,0.00124,0.00266,"MYH7,MYL3"
"GO:0034122","negative regulation of toll-like receptor signaling pathway",35,2,0.1,29,0.00194,0.00414,"MFHAS1,TLR9"
"GO:1903170","negative regulation of calcium ion transmembrane transport",37,2,0.1,30,0.00216,0.00462,"NTSR1,TLR9"
"GO:0060048","cardiac muscle contraction",128,3,0.35,32,0.00173,0.0052,"MYH7,MYL3,PDE4D"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",46,2,0.13,36,0.00332,0.00706,"MYH7,MYL3"
"GO:1903779","regulation of cardiac conduction",52,2,0.14,39,0.00423,0.00895,"ATP2A1,PDE4D"
"GO:0032729","positive regulation of interferon-gamma production",55,2,0.15,43,0.00472,0.00998,"PDE4D,TLR9"
"GO:0015909","long-chain fatty acid transport",59,2,0.16,45,0.00541,0.01141,"ACACB,NTSR1"
"GO:0060395","SMAD protein signal transduction",65,2,0.18,47,0.00653,0.01373,"BTBD11,GDF6"
"GO:0043647","inositol phosphate metabolic process",66,2,0.18,48,0.00673,0.01414,"NTSR1,PLCH2"
"GO:1902930","regulation of alcohol biosynthetic process",69,2,0.19,51,0.00734,0.01538,"ACACB,NTSR1"
"GO:0045833","negative regulation of lipid metabolic process",72,2,0.2,52,0.00797,0.01667,"ACACB,LPCAT1"
"GO:0051279","regulation of release of sequestered calcium ion into cytosol",74,2,0.2,53,0.0084,0.01756,"NTSR1,PDE4D"
"GO:1905954","positive regulation of lipid localization",75,2,0.21,54,0.00862,0.01801,"ACACB,NTSR1"
"GO:0043462","regulation of ATPase activity",77,2,0.21,55,0.00907,0.01892,"MYL3,TLR9"
"GO:0003073","regulation of systemic arterial blood pressure",78,2,0.21,57,0.00929,0.01938,"NTSR1,PDE4D"
"GO:1901019","regulation of calcium ion transmembrane transporter activity",84,2,0.23,63,0.01071,0.02227,"PDE4D,TLR9"
"GO:0032412","regulation of ion transmembrane transporter activity",222,3,0.61,66,0.00807,0.02292,"NTSR1,PDE4D,TLR9"
"GO:0030593","neutrophil chemotaxis",86,2,0.24,68,0.01121,0.02327,"PDE4D,PREX1"
"GO:0002027","regulation of heart rate",88,2,0.24,69,0.01171,0.02429,"MYH7,PDE4D"
