"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0019730","antimicrobial humoral response",75,10,0.4,1,0.00018,6.7e-12,"ACOD1,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0030593","neutrophil chemotaxis",86,10,0.46,2,1.4e-12,2.7e-11,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,IL1B,S100A8,S100A9"
"GO:0006954","inflammatory response",638,19,3.39,6,1.3e-05,8e-10,"ACOD1,APOA1,CCL8,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CYLD,GBP5,GHSR,ICAM1,IL1B,S100A8,S100A9,SERPINC1,VPS35"
"GO:0009617","response to bacterium",516,17,2.74,7,0.02539,1.6e-09,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CYP2E1,FGB,GBP5,GHSR,ICAM1,IL1B,PCK1,S100A8,S100A9"
"GO:0071222","cellular response to lipopolysaccharide",178,11,0.95,8,1e-10,2.6e-09,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,GHSR,ICAM1,IL1B"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,7,0.23,9,3.9e-10,3.1e-09,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,S100A9"
"GO:0070098","chemokine-mediated signaling pathway",76,8,0.4,13,6.1e-10,6.5e-09,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5"
"GO:0006955","immune response",1737,29,9.23,15,0.00172,1.1e-08,"ACOD1,APOA1,AZGP1,CCL8,CEBPB,CTSS,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5,CYLD,FGB,FGG,GBP5,HBB,HLA-DRA,ICAM1,IL1B,IL32,LPCAT1,LST1,PRDM1,S100A8,S100A9,SERPINC1,SLC27A2"
"GO:0071347","cellular response to interleukin-1",120,9,0.64,21,1e-09,1.5e-08,"ACOD1,CCL8,CEBPB,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0019221","cytokine-mediated signaling pathway",671,15,3.56,36,0.00473,2.3e-06,"APOA1,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5,CYLD,FGF2,HLA-DRA,ICAM1,IL1B,IL32"
"GO:0032103","positive regulation of response to external stimulus",262,9,1.39,40,0.00024,1e-05,"ACOD1,CXCL10,CXCL8,FGF2,GBP5,GHSR,IL1B,S100A8,S100A9"
"GO:0070486","leukocyte aggregation",12,3,0.06,43,1.3e-05,3.1e-05,"IL1B,S100A8,S100A9"
"GO:0010469","regulation of signaling receptor activity",462,11,2.45,45,1.9e-06,3.3e-05,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGF2,GDF1,IL1B,IL32"
"GO:0017144","drug metabolic process",743,14,3.95,46,0.01074,3.6e-05,"ACOD1,ALDOB,CYP2E1,GART,GNMT,HBB,HMGCS2,HPD,ICAM1,IL1B,MAT1A,PCK1,TAT,VPS35"
"GO:0002224","toll-like receptor signaling pathway",123,6,0.65,49,9.2e-06,4.9e-05,"ACOD1,CTSS,FGB,FGG,S100A8,S100A9"
