"GO.ID","Term","Annotated","Significant","Expected","Rank.in.p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0019730","antimicrobial humoral response",75,10,0.53,1,0.00033,1.1e-10,"ACOD1,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,FGB,S100A8,S100A9"
"GO:0030593","neutrophil chemotaxis",86,10,0.6,2,9.5e-12,4.4e-10,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,IL1B,S100A8,S100A9"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",44,7,0.31,7,1.5e-09,2.1e-08,"CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,S100A9"
"GO:0071222","cellular response to lipopolysaccharide",178,11,1.25,8,8.3e-10,4.9e-08,"ACOD1,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,GHSR,ICAM1,IL1B"
"GO:0070098","chemokine-mediated signaling pathway",76,8,0.53,9,2.8e-09,5.8e-08,"CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5"
"GO:0006954","inflammatory response",638,19,4.47,11,6.2e-05,9.4e-08,"ACOD1,APOA1,CCL8,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CYLD,GBP5,GHSR,ICAM1,IL1B,S100A8,S100A9,SERPINC1,VPS35"
"GO:0071347","cellular response to interleukin-1",120,9,0.84,15,5.7e-09,1.6e-07,"ACOD1,CCL8,CEBPB,CXCL8,FGB,FGG,ICAM1,IL1B,PCK1"
"GO:0006955","immune response",1737,28,12.17,32,0.00698,2e-05,"ACOD1,APOA1,AZGP1,CCL8,CEBPB,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5,CYLD,FGB,FGG,GBP5,HBB,HLA-DOA,HLA-DRA,ICAM1,IL1B,IL32,LPCAT1,LST1,S100A8,S100A9,SERPINC1,SLC27A2"
"GO:0070486","leukocyte aggregation",12,3,0.08,39,2.3e-05,7e-05,"IL1B,S100A8,S100A9"
"GO:0019221","cytokine-mediated signaling pathway",671,15,4.7,38,0.01454,7e-05,"APOA1,CCL8,CXCL1,CXCL10,CXCL11,CXCL5,CXCL8,CXCL9,CXCR5,CYLD,FGF2,HLA-DRA,ICAM1,IL1B,IL32"
"GO:0032103","positive regulation of response to external stimulus",262,9,1.84,40,0.00061,9.5e-05,"ACOD1,CXCL10,CXCL8,FGF2,GBP5,GHSR,IL1B,S100A8,S100A9"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion",15,3,0.11,42,4.6e-05,0.00014,"FGB,FGG,IL1B"
"GO:0017144","drug metabolic process",743,15,5.2,43,0.01013,0.00021,"ACOD1,ALDOB,CYP2E1,FMO2,GART,GNMT,HBB,HMGCS2,HPD,ICAM1,IL1B,MAT1A,PCK1,TAT,VPS35"
"GO:1901617","organic hydroxy compound biosynthetic process",231,8,1.62,44,0.00769,0.00022,"ABCB11,APOA1,FGF2,HMGCS2,IL1B,PCK1,SLC27A2,VPS35"
"GO:0006094","gluconeogenesis",82,5,0.57,46,4.5e-05,0.00028,"ALDOB,GNMT,PCK1,RBP4,SUPT20HL2"
