"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"49","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,21.321447524127,4.23593840951502,5.03346495223666,4.81692915157775e-07,0.00098506201149765
"42","ENSG00000261459","AC002310.5","16",30525923,30534852,"novel transcript",2.66884157475864,21.3086843984579,3.91686232071621,5.44024340241847,5.32078252629357e-08,0.000176816254326893
"37","ENSG00000250111","AC107982.1","17",18835707,18842364,"coiled-coil domain-containing protein 144B-like [Source:NCBI gene;Acc:101929141]",1.4881313844529,20.645034405487,4.2670142564773,4.83828578124574,1.30963745353935e-06,0.00193426176124131
"8","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",0.966183886233805,19.8548556228407,4.14003514975837,4.795818128259,1.62012225341186e-06,0.00226281425090254
"63","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,17.9324711778747,4.27340989118165,4.19629093265288,2.71321681272394e-05,0.0176923926887068
"56","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,17.7659437884248,4.29608552255189,4.13537945070324,3.54368602033669e-05,0.0209353095223669
"38","ENSG00000251038","AC090958.1","3",11909634,11910765,"novel pseudogene",0.325464813298622,17.2628252401902,4.28359480369563,4.02998556849887,5.57802773842985e-05,0.023222367355002
"43","ENSG00000266695","AC090958.2","CHR_HSCHR3_1_CTG1",11911555,11912686,"novel pseudogene",0.325464813298622,17.2628252401902,4.28359480369563,4.02998556849887,5.57802773842985e-05,0.023222367355002
"32","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1513427637444,4.28331457552527,4.00422207179148,6.22218944178023e-05,0.023222367355002
"61","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1513427637444,4.28331457552527,4.00422207179148,6.22218944178023e-05,0.023222367355002
"25","ENSG00000230371","KARSP2","13",113130416,113132054,"lysyl-tRNA synthetase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39208]",0.572501889915619,17.1384238250331,4.2764267173655,4.0076505357705,6.13257728506188e-05,0.023222367355002
"33","ENSG00000240433","LY6G5B","CHR_HSCHR6_MHC_MANN_CTG1",31709833,31713000,"lymphocyte antigen 6 family member G5B [Source:HGNC Symbol;Acc:HGNC:13931]",2.61250127358326,17.0827062984898,3.64804012916663,4.68270789071397,2.83109821787013e-06,0.00327153901675468
"27","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,16.8940448309716,4.28365979946232,3.94383438971789,8.01890455152686e-05,0.0266376184207485
"62","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,16.7580710490194,4.27090532041097,3.92377488888161,8.71721949447102e-05,0.0266376184207485
"31","ENSG00000235028","HMGN1P30","18",58018794,58019061,"high mobility group nucleosome binding domain 1 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:39374]",0.247189431432986,16.5805218194999,4.30003928426213,3.85590007983964,0.000115304581906511,0.0319309615623395
"35","ENSG00000248557","AC024558.1","3",126624792,126626061,"methyltransferase like 5 (METTL5) pseudogene",0.553550851197572,16.3650320685862,4.06450615873895,4.02632729031555,5.66548175128605e-05,0.023222367355002
"28","ENSG00000232716","AC016831.3","7",130840204,130843725,"zinc finger protein 131 (ZNF131) pseudogene",0.185392073574739,16.3259133359804,4.30145240269777,3.79544205248934,0.00014738061730651,0.0364510804732515
"17","ENSG00000205184","SLC10A5P1","8",81634357,81635662,"SLC10A5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48930]",0.185392073574739,16.32591165999,4.30145240316696,3.79544166244174,0.000147380849029639,0.0364510804732515
"45","ENSG00000268951","AL772155.3","9",63719864,63720441,"novel pseudogene",0.185392073574739,16.32591165999,4.30145240316696,3.79544166244174,0.000147380849029639,0.0364510804732515
"7","ENSG00000147873","IFNA5","9",21304326,21305312,"interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]",0.185392073574739,16.3259081158014,4.30145240430854,3.79544083748285,0.000147381339130076,0.0364510804732515
"47","ENSG00000269547","AC011455.2","19",38915404,38949855,"novel protein",0.376143103451881,16.300298948237,4.29862572111545,3.79197911280522,0.000149451486612165,0.0364510804732515
