"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",36.9448957601577,24.4234409771663,2.81177579060629,8.68612677396301,3.75006394796007e-18,8.50214498281507e-14
"17","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",27.1618802512846,20.3096784457344,3.21625294359661,6.31470186017858,2.70682797257773e-10,1.53423009485706e-06
"20","ENSG00000273889","FAM83H","CHR_HSCHR8_3_CTG7",143710940,143720808,"family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]",69.6615308901715,6.23304975820365,1.60523078672093,3.88296175837505,0.000103191802292138,0.0935825816626938
"14","ENSG00000198650","TAT","16",71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,5.93908887033438,0.893417633287875,6.64760650456146,2.97897420537356e-11,2.25131010614098e-07
"8","ENSG00000146678","IGFBP1","7",45888360,45893660,"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]",18.9552109963461,5.8313697039164,1.26325355425428,4.61615143236923,3.9092174333221e-06,0.00886297776482787
"11","ENSG00000171564","FGB","4",154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,5.03302781328691,1.19770687632468,4.20222001958561,2.64310050328849e-05,0.033291319228087
"13","ENSG00000196565","HBG2","11",5253188,5505605,"hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]",5.78668370061645,4.98019431595289,1.0875884298891,4.57911667602119,4.66943686833141e-06,0.00962413387989179
"6","ENSG00000131482","G6PC","17",42900797,42913369,"glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]",9.86570292245402,4.56659479304446,0.912960161121178,5.00196502269756,5.67488881989708e-07,0.00214435132207844
"4","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,4.05190041724719,0.562846555644573,7.19894325835742,6.06809943156294e-13,6.87879751561974e-09
"12","ENSG00000171759","PAH","12",102836889,102958410,"phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]",2.30895659865863,3.92172354715978,1.01748326017179,3.85433716766766,0.000116043584678895,0.0994073589530074
"7","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,3.86019308991843,0.87112728176211,4.43126184971508,9.36832418137531e-06,0.01528358237938
"19","ENSG00000256069","A2MP1","12",9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,3.81643198074908,0.859944911163526,4.43799588927779,9.08003529230745e-06,0.01528358237938
"5","ENSG00000124253","PCK1","20",57561080,57568121,"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]",2.82437497630641,3.67250874428594,0.845620248020763,4.34297635715525,1.40565266512368e-05,0.021245971482456
"18","ENSG00000244734","HBB","11",5225464,5229395,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]",37.3871864890928,3.11035860328518,0.720215737877743,4.31864848225958,1.56987588952573e-05,0.0222451413545796
"1","ENSG00000047457","CP","3",149162410,149221829,"ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]",5.38377770596086,2.83275318792754,0.586224888619451,4.83219536208813,1.35035646141243e-06,0.00437361167044895
"16","ENSG00000221887","HMSD","18",63949301,63981774,"histocompatibility minor serpin domain containing [Source:HGNC Symbol;Acc:HGNC:23037]",16.486434767331,2.55555542949191,0.493279428827534,5.18074600346939,2.21000253797033e-07,0.00100210355081726
"9","ENSG00000157782","CABP1","12",120640552,120667324,"calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1384]",164.722320235106,2.00083322713605,0.45168876991451,4.42967228854227,9.43763908395025e-06,0.01528358237938
"3","ENSG00000105696","TMEM59L","19",18607430,18621039,"transmembrane protein 59 like [Source:NCBI gene;Acc:25789]",72.544258849723,1.10828971064448,0.275468050472188,4.02329674437644,5.73891132913136e-05,0.0619583798352696
"10","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,0.822132769127406,0.17274938662408,4.75910673371274,1.94451595509698e-06,0.00551075821674484
"2","ENSG00000101160","CTSZ","20",58995185,59007254,"cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]",14586.6183527133,0.340432232108276,0.0868260883076699,3.92085188615141,8.82364864371047e-05,0.0833540675209183
