"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"12","ENSG00000136872","ALDOB","9",101420560,101449664,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",51.1895416765798,-6.94170922357383,0.926029010687684,-7.49621139668056,6.56888196949725e-14,3.76883034117935e-10
"16","ENSG00000143546","S100A8","1",153390032,153391073,"S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]",13.4573929017386,-6.86218490920157,1.0703695453503,-6.41104274594791,1.44527662338763e-10,5.92295007073158e-07
"15","ENSG00000140284","SLC27A2","15",50182196,50236385,"solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]",4.41647938720363,-6.85177629750818,1.22302131022012,-5.60233598568694,2.11482116056053e-08,5.05565621941667e-05
"18","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",8.93971429286633,-6.75942685699623,1.36470684848549,-4.95302479393112,7.30686603140257e-07,0.00131007541151778
"21","ENSG00000163220","S100A9","1",153357854,153361023,"S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]",10.193090843353,-6.61409916378076,1.08172097610872,-6.11442258203558,9.69072002903764e-10,3.08886317192225e-06
"1","ENSG00000005421","PON1","7",95297676,95324707,"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",2.50394550886568,-6.58927039165923,1.26721265169447,-5.19981424021321,1.99487795520669e-07,0.000381513759340095
"17","ENSG00000145321","GC","4",71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,-5.99162637950172,1.22781980390985,-4.87989064879232,1.0614467729034e-06,0.00166579174205788
"36","ENSG00000256069","A2MP1","12",9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,-5.96493631019406,1.13949992308364,-5.23469654482481,1.65256139240037e-07,0.000338621633312782
"28","ENSG00000171557","FGG","4",154604134,154612967,"fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]",6.05878464679844,-5.51159839704694,1.1271897453499,-4.88968110274639,1.00999464571109e-06,0.00166579174205788
"11","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,-5.49539175126113,1.21803450491939,-4.51168807539227,6.43137206110398e-06,0.00683321371544036
"29","ENSG00000171564","FGB","4",154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,-5.33018665342605,1.19881301036659,-4.44622022561809,8.7394356879754e-06,0.00864511005451553
"35","ENSG00000240520","UOX","1",84363706,84397831,"urate oxidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12575]",3.01774788004189,-5.32544036026948,1.11674291436521,-4.7687254530705,1.85395114775802e-06,0.00265921482878672
"6","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,-5.14968523124447,0.648958120329934,-7.93531211016566,2.09966632759761e-15,1.50582819849482e-11
"23","ENSG00000163993","S100P","4",6693878,6697170,"S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]",5.22672853797801,-4.5000119986489,1.13872628754001,-3.95179425283162,7.75674180997481e-05,0.0601399060277696
"7","ENSG00000118137","APOA1","11",116835751,116837950,"apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]",24.5025892889786,-4.49205798006263,0.40011284577508,-11.2269776576676,3.00585163005219e-29,8.62288657113072e-25
"2","ENSG00000047457","CP","3",149162410,149221829,"ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]",5.38377770596086,-4.2742737553354,1.10585349343301,-3.86513564474654,0.000111027478363253,0.079626131795166
"10","ENSG00000131482","G6PC","17",42900797,42913369,"glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]",9.86570292245402,-3.85495217391201,1.01336983880221,-3.80409207606622,0.00014232523743999,0.0972115258676426
