"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"80","ENSG00000273825","FP700111.2","1",144754572,144786606,"otopetrin 1 (OTOP1) pseudogene",0.684996614256606,-25.7899410486886,4.30840344326178,-5.98596240772746,2.15114051803678e-09,1.42970176680019e-05
"70","ENSG00000258864","AC008575.1","5",112827213,112867582,"novel transcript",1.38993527828736,-23.9187235254678,4.26896236163408,-5.60293614683267,2.10750879141109e-08,8.00401731709485e-05
"22","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-23.7041161973376,4.29919549123003,-5.5136167326403,3.51533689501926e-08,0.000116819039192609
"44","ENSG00000229473","RGS17P1","13",40992779,40993331,"regulator of G protein signaling 17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39729]",0.304771627873299,-23.5833685836952,4.3120892539762,-5.46912811740824,4.52254762190224e-08,0.000133591031698079
"43","ENSG00000228978","TNF","CHR_HSCHR6_MHC_APD_CTG1",31643520,31645322,"tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]",0.936858617985909,-23.1132099508341,4.2732020682649,-5.40887362254296,6.3422362111014e-08,0.000168608349672131
"59","ENSG00000239959","ENPP7P2","3",75446769,75491202,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48685]",0.310909472518247,-22.2563798672985,4.28360794357677,-5.19570888850175,2.03941188413379e-07,0.000361451766264645
"81","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,-22.0060081949016,4.32794324794381,-5.08463418630931,3.68335285792853e-07,0.000576011386635471
"61","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,-21.3884608823737,4.2959617759467,-4.97873631048786,6.40007676254261e-07,0.000900808983813765
"90","ENSG00000283541","BX005040.4","9",61063752,61113954,"contactin associated protein-like 3B (CNTNAP3B) pseudogene",0.432788296159067,-20.6195215605271,4.27640546902925,-4.82169469426101,1.42343694573267e-06,0.00188904403027666
"69","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,-20.5344543040822,4.26709597763915,-4.81227851721379,1.49219201187925e-06,0.00188904403027666
"52","ENSG00000236060","HSPB1P1","9",72007881,72008136,"heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]",0.371650725868916,-19.7016140688313,4.28329086339957,-4.59964422149808,4.23213110700413e-06,0.0046879668949877
"68","ENSG00000253203","GUSBP3","5",69639459,69679259,"glucuronidase, beta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37301]",0.860806402453705,-19.2449967903144,3.76928543773116,-5.10574142188035,3.29500009143533e-07,0.000547484858942551
"86","ENSG00000281429","FAM20C","CHR_HSCHR7_1_CTG1",196274,199037,"FAM20C, golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]",1.09305852420619,-19.0276587903801,4.29672508315894,-4.4284096427205,9.4930472997417e-06,0.00870250560219425
"42","ENSG00000227587","ATP6V1G2","CHR_HSCHR6_MHC_COX_CTG1",31531911,31534293,"ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]",0.571707378341336,-18.9578122641914,4.27107804300045,-4.43864805871668,9.05257014887832e-06,0.00859509205028322
"77","ENSG00000267303","AC011511.4","19",10315471,10320678,"novel transcript",2.23671779325131,-18.8399122209118,4.2221592780858,-4.46215099432564,8.11410158536889e-06,0.00798938483877896
"5","ENSG00000111780","AL021546.1","12",120438198,120460006,"novel protein",0.911338649792569,-18.7949799754545,4.30190746845699,-4.36898750455827,1.24823907666609e-05,0.00948709511470391
"23","ENSG00000169862","CTNND2","5",10971836,11904446,"catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]",0.348359808038885,-18.2173569068234,4.30285765336764,-4.23378098333453,2.29794749832417e-05,0.015272733560737
"32","ENSG00000198211","AC092143.1","16",89919165,89936092,"novel protein (MC1R-TUBB3 readthrough)",0.724705638835931,-18.130636680254,4.27584029880461,-4.24025113503952,2.23269850001272e-05,0.0152195614417534
"56","ENSG00000237669","AL671277.2","6",30006121,30007116,"HLA complex group 4 pseudogene 3",0.427226883728811,-18.0674792883422,4.29822389469348,-4.20347560550486,2.62847491421559e-05,0.0170434159986394
