"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"21","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-25.6260884347013,4.27205724903825,-5.99853582029369,1.99104603545057e-09,5.71402439772888e-06,1.54391940391119
"40","ENSG00000206181","ELOA2","18",47032572,47035621,"elongin A2 [Source:HGNC Symbol;Acc:HGNC:30771]",0.281499583370699,-24.5331004854343,4.32794324798995,-5.66853562528306,1.4402312709973e-08,2.91345356240271e-05,1.64274749534221
"37","ENSG00000198822","GRM3","7",86643914,86864884,"glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595]",0.469368056387601,-24.3595035276241,4.29231487706363,-5.6751436521564,1.38572320118403e-08,2.91345356240271e-05,1.71487806108781
"25","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-23.8670878044504,4.29919549123003,-5.55152419868719,2.83189504869286e-08,0.000165882635613899,0.378208814075493
"86","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",2.1148858919434,-23.0033941886401,4.08300789643441,-5.63393330900201,1.76145161347008e-08,0.000273590898529126,0.114107575448986
"46","ENSG00000223624","AL033528.1","1",25888970,25889109,"ribosomal protein L39 (RPL39) pseudogene",0.257032683183941,-22.9008159748773,4.31948364345109,-5.30174851098186,1.14698776477136e-07,0.000165882635613899,1.64274749534221
"76","ENSG00000239959","ENPP7P2","3",75446769,75491202,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48685]",0.310909472518247,-22.3413753593395,4.28360794357677,-5.21555092193724,1.83271702015532e-07,0.000196488560484958,1.90744249790793
"72","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-22.3397273011543,4.32794324796617,-5.16174219975097,2.44662076618438e-07,0.000136051298117424,4.78080062219426
"99","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-22.3397273011543,4.32794324796617,-5.16174219975097,2.44662076618438e-07,0.000270920608396546,1.71487806108781
"80","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,-21.5002268060238,4.2959617759467,-5.00475281842697,5.59337577565996e-07,0.00116576610304261,0.554589193238297
"1","ENSG00000006047","YBX2","17",7288263,7294639,"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]",0.551548997063251,-20.9158465421324,4.27349613933902,-4.89431740667665,9.86475169056922e-07,0.000687450405402578,1.90744249790793
"56","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,-20.8070828685123,4.32794324796743,-4.80761453567675,1.52741912217059e-06,0.0011238697231011,1.72051958930663
"15","ENSG00000134917","ADAMTS8","11",130404923,130428609,"ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]",0.490948818449818,-20.7834371171766,4.24658522948352,-4.89415282963821,9.87300949817063e-07,0.000322951023886428,4.78080062219426
"62","ENSG00000232149","FERP1","X",123603139,123603931,"FER tyrosine kinase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26443]",0.662769763574099,-20.3076521760149,4.23365443131307,-4.7967193604218,1.61285316688613e-06,0.00116576610304261,1.67122519286405
"61","ENSG00000232136","DUXAP7","20",18642782,18643634,"double homeobox A pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:32186]",0.382074262329051,-19.6388561905517,4.27385947609719,-4.59511041492772,4.32520179005297e-06,0.0023185594507723,1.90744249790793
"68","ENSG00000236060","HSPB1P1","9",72007881,72008136,"heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]",0.371650725868916,-19.5975505711762,4.28329086339957,-4.57534900060977,4.75426769402477e-06,0.00234459947419332,1.99658529751156
"59","ENSG00000231802","AC009502.2","2",219684030,219684795,"DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6) pseudogene",0.695778685392084,-19.5223889520802,3.75766893325027,-5.19534565148451,2.04339814201668e-07,0.000438059489335878,0.688944220387752
"64","ENSG00000232724","TRIM80P","17",75074306,75079549,"tripartite motif containing 80, pseudogene [Source:HGNC Symbol;Acc:HGNC:51490]",0.324437440428706,-19.207730927871,4.28359250097234,-4.48402384762581,7.3248470749615e-06,0.0034832875433184,1.99658529751156
