"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"53","ENSG00000256407","AL357673.1","1",54132686,54200073,"novel transcript",0.829947019734747,18.2863746986745,4.25505952472275,4.29756025560325,1.7268832585656e-05,0.00673668644053029,1.5488188792895
"64","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.84529341416719,18.173620776631,4.29699327170359,4.22938078500316,2.34335416679244e-05,0.0083502567289593,1.5488188792895
"66","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",4.31752520935488,18.062514886934,4.29601975126703,4.2044766860317,2.61686909028676e-05,0.0134885203324813,0.554589193238297
"63","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,17.8500776333544,4.26766167672931,4.18263653154307,2.88147866357832e-05,0.0138175684239035,0.554589193238297
"33","ENSG00000231759","CYP21A1P","CHR_HSCHR6_MHC_DBB_CTG1",31987818,31990633,"cytochrome P450 family 21 subfamily A member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:2599]",0.359887684056897,17.6614416006252,4.27070362165483,4.13548753677776,3.54201839335538e-05,0.00528681505314805,4.78080062219426
"59","ENSG00000275758","DDTL","CHR_HSCHR22_1_CTG7",23966902,23972534,"D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]",2.03349593276608,17.502918599285,4.29625889822103,4.0739906541788,4.62143368243015e-05,0.0183086624149283,0.554589193238297
"32","ENSG00000230371","KARSP2","13",113130416,113132054,"lysyl-tRNA synthetase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39208]",0.572501889915619,16.958018241086,4.28199155727161,3.960310994142,7.48522175558387e-05,0.0129685028109571,1.71487806108781
"4","ENSG00000100101","Z83844.1","22",37686414,37726503,"novel transcript",0.247425639912182,16.9139127849606,4.3000432095882,3.93342856351911,8.37427348364576e-05,0.0129685028109571,1.90744249790793
"34","ENSG00000231942","HNRNPA1P36","8",81807772,81808726,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:48765]",0.385847806102856,16.8099726710683,4.27335576755673,3.93367030161389,8.36585164486867e-05,0.0129685028109571,1.90744249790793
"52","ENSG00000255292","AP002884.3","11",112086903,112193805,"novel transcript",0.830224738764553,16.7054925944692,4.25130425505602,3.92949824153413,8.51232991534218e-05,0.023728329261194,0.688944220387752
"65","ENSG00000284330","AC256236.2","CHR_HG926_PATCH",22801555,22808047,"",0.925858630867303,16.6267352810513,4.29698804647697,3.86939295646478,0.000109106670635184,0.0161375932750312,1.5488188792895
"56","ENSG00000266145","RHOT1P1","18",14222008,14222331,"ras homolog family member T1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23777]",0.185569229934136,16.5646161388182,4.30145151737911,3.85093638086872,0.000117667065267716,0.0161375932750312,1.64274749534221
