"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",27.1618802512846,20.5506414698119,3.21579386641797,6.3905344445174,1.65306961589976e-10,1.58016924583858e-06
"9","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",36.9448957601577,19.8984227428012,2.85195486257154,6.97711699576454,3.0129879441943e-12,4.320172763783e-08
"2","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,4.4729601112921,0.55609827569645,8.04347056406571,8.73291919578603e-16,2.50433923777556e-11
"1","ENSG00000005421","PON1","7",95297676,95324707,"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",2.50394550886568,4.43081584716337,1.07461930345846,4.12314931706851,3.73727259838488e-05,0.0853664647772075
"5","ENSG00000145321","GC","4",71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,4.3427265167257,0.859963316627203,5.04989739999374,4.42047421761412e-07,0.0025353187827704
"4","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,3.68794267404004,0.873388655971796,4.22256763792812,2.41534881891201e-05,0.0736709638689283
"8","ENSG00000197582","GPX1P1","X",13378735,13379340,"glutathione peroxidase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4560]",9.41191124926858,1.82440489216032,0.448320870046667,4.06941771854255,4.71307805450089e-05,0.0965406709778013
"3","ENSG00000130649","CYP2E1","10",133520406,133561220,"cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]",27.0571678630146,1.55458141834718,0.368775660278787,4.21552066959067,2.49202564994152e-05,0.0736709638689283
"7","ENSG00000168952","STXBP6","14",24809656,25050297,"syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]",56.293779189927,1.22672594075926,0.270211519019337,4.53987285668406,5.62881600324566e-06,0.0230596509321537
"6","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,0.992626434014495,0.172351730052983,5.75930647002702,8.44602330626115e-09,6.05516525884128e-05
