"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"84","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,29.5833429281696,3.96785645845904,7.45574927870719,8.93585308544399e-14,1.1206006561801e-09
"122","ENSG00000258524","NT5CP1","14",73571159,73571667,"5',3'-nucleotidase, cytosolic pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20046]",0.504204575069556,18.8381233437694,4.26314225329275,4.41883526856729,9.92342469274483e-06,0.00521376860117334
"85","ENSG00000204006","C1orf185","1",51102221,51148086,"chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]",0.528524432997159,18.5931541750939,4.2654708459399,4.35899220663807,1.30662765356781e-05,0.00618330720361023
"102","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,18.5822818172187,4.27052708633015,4.3512853194867,1.35341796306017e-05,0.00628612517250224
"68","ENSG00000180871","CXCR2","2",218125289,218137251,"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]",0.457100981685739,18.1905865143626,4.26578724137178,4.26429765130831,2.00531978032518e-05,0.00798340085878346
"90","ENSG00000214676","RPL9P16","4",168755816,168756382,"ribosomal protein L9 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36851]",0.383995841825681,17.9287309463785,4.2705877207171,4.19818819302182,2.69058995568747e-05,0.00978009951863732
"105","ENSG00000235299","MRPL53P1","1",112625906,112626224,"mitochondrial ribosomal protein L53 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29725]",0.382337840591676,17.8365008511618,4.27065727617301,4.17652358822512,2.9599806080163e-05,0.0101697635109119
"132","ENSG00000275049","AC011295.1","CHR_HSCHR15_5_CTG8",82403250,82412947,"",0.352190134175297,17.2209279641311,4.29862510955566,4.00614790200004,6.1717012138373e-05,0.0152832115426779
"135","ENSG00000282204","TRBV9","CHR_HSCHR7_2_CTG6",142413602,142414123,"T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:HGNC:12246]",0.348866799344735,17.1524394925913,4.29862298387036,3.99021722932019,6.60128079151177e-05,0.0152832115426779
"78","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",1.14778509744817,17.1388216987572,4.29677947082823,3.9887599107928,6.64196028129616e-05,0.0152832115426779
"100","ENSG00000232344","AC087163.2","17",18010643,18011822,"ribosomal protein S2 (RPS2) pseudogene",0.446796233731938,17.0884308390268,4.27634735015856,3.99603433486132,6.441239598814e-05,0.0152832115426779
"99","ENSG00000230419","AL845454.1","CHR_HSCHR6_MHC_QBL_CTG1",29878575,29879543,"HLA complex group 4 pseudogene 7",0.405387110384336,16.3523962942606,4.29862599125637,3.80409840900841,0.00014232159680342,0.0262468233046072
"121","ENSG00000254974","AP001372.4","11",74485580,74486051,"ribosomal L24 domain containing 1 (RSL24D1) pseudogene",0.337822591986947,16.2764992613785,4.2991924598891,3.78594338663274,0.000153126536465351,0.0276299759790465
"137","ENSG00000285013","AC243837.4","CHR_HSCHR7_3_CTG4_4",144396023,144396316,"",0.644849518491627,16.1364711131883,4.27692440998017,3.77291473179511,0.000161351443730762,0.0287011032639095
"98","ENSG00000229942","IFITM4P","CHR_HSCHR6_MHC_SSTO_CTG1",29748420,29748840,"interferon induced transmembrane protein 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:21669]",0.272426924858011,16.0364000138711,4.30004353353102,3.72935759575966,0.00019196855906885,0.0313642156410308
"29","ENSG00000132911","NMUR2","5",152391532,152433368,"neuromedin U receptor 2 [Source:HGNC Symbol;Acc:HGNC:16454]",0.396577132638659,16.0216316898615,4.28366585510546,3.74016840523782,0.000183897004034655,0.0310202651154494
"116","ENSG00000253333","AC146944.3","5",70495100,70500903,"glucuronidase, beta (GUSB) pseudogene",0.265815423212171,16.0199958294371,4.3000424325691,3.72554366163913,0.00019489471291557,0.0313642156410308
"96","ENSG00000227315","NEU1","CHR_HSCHR6_MHC_COX_CTG1",31845195,31850443,"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]",0.975943990979198,15.9669572379566,4.27405621377555,3.73578550195343,0.000187130131136636,0.0312894054602531
"136","ENSG00000284764","PINX1","CHR_HG76_PATCH",9112146,9226509,"PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:NCBI gene;Acc:54984]",0.204260356350152,15.8796622442497,4.30144845042221,3.69170116235869,0.000222759108783806,0.0343921588511716
"72","ENSG00000184961","RPL7AP49","9",39983821,39984401,"ribosomal protein L7a pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:35507]",0.781517528821994,15.8625533010713,4.27506203841877,3.7104849376498,0.000206862605079292,0.0324270062374607
