"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",27.1618802512846,-22.1658138776354,3.21625627963206,-6.89180586074789,5.50885227140866e-12,6.39522660187831e-08
"18","ENSG00000273889","FAM83H","CHR_HSCHR8_3_CTG7",143710940,143720808,"family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]",69.6615308901715,-6.23303162539942,1.60523207327215,-3.88294735021948,0.000103197919405401,0.0998353871981083
"13","ENSG00000198650","TAT","16",71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,-5.93908819334308,0.893418479576073,-6.64759944988061,2.97911694516688e-11,2.30563790776282e-07
"8","ENSG00000146678","IGFBP1","7",45888360,45893660,"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]",18.9552109963461,-5.83136070231503,1.26325466360642,-4.61614025288242,3.90942791498769e-06,0.011346137166273
"11","ENSG00000171564","FGB","4",154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,-5.03302659424,1.19770838715145,-4.20221370095787,2.64317430064385e-05,0.038355763070218
"12","ENSG00000196565","HBG2","11",5253188,5505605,"hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]",5.78668370061645,-4.98018994190465,1.08758961876108,-4.57910764868998,4.66963837891119e-06,0.0120466293201733
"6","ENSG00000131482","G6PC","17",42900797,42913369,"glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]",9.86570292245402,-4.56659169461598,0.912960722983896,-5.00195855051755,5.67507938739159e-07,0.00263527986432916
"4","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,-4.05190059758095,0.562846972264194,-7.1989382500916,6.06832228862245e-13,1.40894306897236e-08
"7","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,-3.86019483570426,0.871128463270302,-4.43125784366258,9.36849825766189e-06,0.0182604990720948
"17","ENSG00000256069","A2MP1","12",9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,-3.81642988206597,0.859945558660836,-4.43799010719837,9.08027915166559e-06,0.0182604990720948
"5","ENSG00000124253","PCK1","20",57561080,57568121,"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]",2.82437497630641,-3.67250737113342,0.845621166863494,-4.34297001428567,1.40569326468849e-05,0.0251056817073364
"16","ENSG00000244734","HBB","11",5225464,5229395,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]",37.3871864890928,-3.11035224171446,0.720215945062836,-4.31863840704483,1.56994754517051e-05,0.0260364586455491
"1","ENSG00000047457","CP","3",149162410,149221829,"ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]",5.38377770596086,-2.83275300742114,0.586225104958649,-4.83219327091247,1.35037064938596e-06,0.00522548428957385
"14","ENSG00000221887","HMSD","18",63949301,63981774,"histocompatibility minor serpin domain containing [Source:HGNC Symbol;Acc:HGNC:23037]",16.486434767331,-2.5555550586885,0.493279483996406,-5.18074467233898,2.21001831052978e-07,0.00128280512834701
"9","ENSG00000157782","CABP1","12",120640552,120667324,"calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1384]",164.722320235106,-2.00083196215323,0.451688773845319,-4.42966944943027,9.43776332436636e-06,0.0182604990720948
"3","ENSG00000105696","TMEM59L","19",18607430,18621039,"transmembrane protein 59 like [Source:NCBI gene;Acc:25789]",72.544258849723,-1.10828923684488,0.275468052329882,-4.02329499726403,5.73895392016074e-05,0.066623516059146
"10","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,-0.822132588369424,0.172749369456573,-4.75910616030409,1.94452147861784e-06,0.00644969995579272
"2","ENSG00000101160","CTSZ","20",58995185,59007254,"cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]",14586.6183527133,-0.34043213633516,0.0868260882934297,-3.92085078374907,8.82368901376377e-05,0.0890732224006814
