"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1608","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",18.3054127198834,-22.4233151628314,5.51079934130661,-4.0689768895695,4.7220030211749e-05,0.00018014195118176
"1485","ENSG00000183166","CALN1","7",71779491,72447151,"calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]",19.9819554288366,-8.50446123290286,1.49254115780425,-5.69797434960802,1.21239286306876e-08,7.63293651721333e-08
"758","ENSG00000139304","PTPRQ","12",80402178,80680271,"protein tyrosine phosphatase, receptor type Q [Source:HGNC Symbol;Acc:HGNC:9679]",117.031862555179,-7.68988974446529,1.125293986911,-6.83367176392233,8.27682871310099e-12,7.34806027673699e-11
"1682","ENSG00000198797","BRINP2","1",177170958,177282422,"BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746]",11.7581692312194,-7.14232142604328,1.2706594046839,-5.62095664638006,1.89902928385301e-08,1.16691250868414e-07
"1086","ENSG00000162951","LRRTM1","2",80288351,80304752,"leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]",6.42944487292742,-6.35701837195134,1.27778400034032,-4.97503362873399,6.52363137092356e-07,3.280861616108e-06
"869","ENSG00000147041","SYTL5","X",38006553,38128819,"synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589]",13.0377113166869,-6.35559557734741,1.15211895152317,-5.51644044127992,3.45934650060803e-08,2.05903437618943e-07
"1808","ENSG00000227315","NEU1","CHR_HSCHR6_MHC_COX_CTG1",31845195,31850443,"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]",6.85219696561931,-6.28728713876504,2.29901992956709,-2.7347684367177,0.00624241732855914,0.0160939897897288
"523","ENSG00000125285","SOX21","13",94709622,94712399,"SRY-box 21 [Source:HGNC Symbol;Acc:HGNC:11197]",6.06643385197064,-6.01841013487281,2.53080827730279,-2.3780584996691,0.0174040645731808,0.0401627738022778
"618","ENSG00000132170","PPARG","3",12287368,12434356,"peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]",6.90545808458652,-5.94730355262947,1.19766637551027,-4.96574311030114,6.84384988948261e-07,3.43096304437525e-06
"2046","ENSG00000275568","ARHGAP11A","CHR_HSCHR15_4_CTG8",32695437,32720246,"Rho GTPase activating protein 11A [Source:NCBI gene;Acc:9824]",90.0527457733808,-5.93244442977173,1.5084442235653,-3.93282319431742,8.39539892334542e-05,0.000306495605573745
"272","ENSG00000102271","KLHL4","X",87517409,87670050,"kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]",16.1155374433424,-5.92170183889127,1.19003090695792,-4.97609079248952,6.48812239993636e-07,3.26701108023325e-06
"518","ENSG00000124749","COL21A1","6",56056590,56394094,"collagen type XXI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:17025]",14.5017170480145,-5.81897224106181,1.25081995787763,-4.65212615485875,3.2852998017725e-06,1.49556652535053e-05
"1510","ENSG00000184160","ADRA2C","4",3766348,3768526,"adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]",16.261234055038,-5.7262744996899,1.26263041202186,-4.53519449964806,5.75504252911571e-06,2.52726257078712e-05
"2065","ENSG00000277614","SCG5","CHR_HSCHR15_4_CTG8",32721966,32777405,"secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]",4.87379783564175,-5.65297977435064,2.00231616502646,-2.82322036503958,0.00475438804848248,0.0125868785491208
"1175","ENSG00000166106","ADAMTS15","11",130448974,130476641,"ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]",35.0572249743978,-5.58919353765417,1.10626843398333,-5.05229415028069,4.36534721434785e-07,2.2484491660056e-06
"1974","ENSG00000261143","ADAMTS7P3","15",77976042,77993057,"ADAMTS7 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49409]",7.11217630048218,-5.53235594997181,2.21481313313775,-2.49788836231707,0.0124935531776242,0.0299468365982365
"1442","ENSG00000179772","FOXS1","20",31844301,31845619,"forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]",10.2961324508582,-5.51093637276468,1.22885993623377,-4.48459275973686,7.30533214790352e-06,3.16132581169251e-05
"2029","ENSG00000273799","AC146335.1","CHR_HSCHR5_2_CTG1_1",70344694,70355160,"glucuronidase, beta (GUSB) pseudogene",3.16184917572923,-5.45014452074326,2.35808399794493,-2.3112597030017,0.0208185144078065,0.0470989821130792
"2001","ENSG00000268089","GABRQ","X",152637895,152657542,"gamma-aminobutyric acid type A receptor theta subunit [Source:HGNC Symbol;Acc:HGNC:14454]",22.7284439540219,-5.43404083246003,1.15357770732172,-4.71059799263659,2.46991005945452e-06,1.1441963007629e-05
"250","ENSG00000101188","NTSR1","20",62708836,62762771,"neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]",111.653072649014,-5.42416047914241,0.812430713271468,-6.67645916203806,2.44784234567217e-11,2.09338006858297e-10
"1898","ENSG00000243978","RTL9","X",110358816,110456334,"retrotransposon Gag like 9 [Source:HGNC Symbol;Acc:HGNC:29245]",39.9750995063913,-5.27930496135389,0.685664699369492,-7.69954318227045,1.36553520390049e-14,1.56643011442396e-13
"1668","ENSG00000198211","AC092143.1","16",89919165,89936092,"novel protein (MC1R-TUBB3 readthrough)",7.97211036551629,-5.25882365263903,2.17204888892961,-2.42113503035863,0.0154721288653734,0.036197576992843
"1971","ENSG00000260727","SLC7A5P1","16",29613104,29613640,"solute carrier family 7 member 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29458]",3.6091652624572,-5.24205368737671,1.16527976090394,-4.4985366289296,6.84228088807663e-06,2.97412883640125e-05
"2051","ENSG00000276429","PLCH2","CHR_HSCHR1_1_CTG3",2467459,2505530,"phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]",93.2113894680552,-5.20753496969813,0.904573615953043,-5.75689460521305,8.56753634934475e-09,5.49517921230344e-08
"1097","ENSG00000163394","CCKAR","4",26481400,26490462,"cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]",124.946835219177,-5.14826593206692,1.00400802314066,-5.12771393595292,2.93281621706139e-07,1.55107842191799e-06
"777","ENSG00000140798","ABCC12","16",48081006,48156018,"ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]",2.88637654238456,-5.14599536075597,1.35978375257348,-3.78442186194446,0.000154066301290353,0.000540510886556726
"857","ENSG00000145864","GABRB2","5",161288429,161549044,"gamma-aminobutyric acid type A receptor beta2 subunit [Source:HGNC Symbol;Acc:HGNC:4082]",46.9915233398604,-5.12221158454776,1.31298741753585,-3.90118862994198,9.57215253813289e-05,0.000346738920090451
"1098","ENSG00000163395","IGFN1","1",201190825,201228952,"immunoglobulin-like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]",4.38387693794084,-5.05740458274535,1.40947820869597,-3.58813960481475,0.000333045956301238,0.00110025931639308
"1353","ENSG00000174600","CMKLR1","12",108288044,108339317,"chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]",26.0159584289964,-4.96770368563383,1.38184986542612,-3.59496629114765,0.000324433581188097,0.00107405749043521
"851","ENSG00000145358","DDIT4L","4",100185870,100190782,"DNA damage inducible transcript 4 like [Source:HGNC Symbol;Acc:HGNC:30555]",191.286153904857,-4.92536987927683,0.735705342876823,-6.69475888270322,2.16027528006916e-11,1.84976954745771e-10
"2010","ENSG00000270773","AC137695.2","3",129345411,129346164,"MAP/microtubule affinity-regulating kinase 2, pseudogene",3.41800886539196,-4.79989996398812,1.35189718757319,-3.55049186292374,0.000384512022079765,0.00125651393920183
"1680","ENSG00000198774","RASSF9","12",85800703,85836409,"Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]",96.4026120398775,-4.79275383777164,0.393588078179525,-12.1770808199773,4.11757233017388e-34,1.4992205185832e-32
"1813","ENSG00000227587","ATP6V1G2","CHR_HSCHR6_MHC_COX_CTG1",31531911,31534293,"ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]",3.35764703628035,-4.79193257505197,1.871890107627,-2.55994331906947,0.0104689236371094,0.0255905635150376
"683","ENSG00000136011","STAB2","12",103587273,103766719,"stabilin 2 [Source:HGNC Symbol;Acc:HGNC:18629]",6.34108134913315,-4.76381987204243,1.36397709337457,-3.49259521672495,0.000478351020980777,0.00154056835492301
"2105","ENSG00000283787","PRR33","11",1888577,1891895,"proline rich 33 [Source:HGNC Symbol;Acc:HGNC:35118]",7.07772265309841,-4.75549252169579,1.44220396954997,-3.29737861086301,0.000975918496162461,0.00297035731768964
"1238","ENSG00000168952","STXBP6","14",24809656,25050297,"syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]",56.293779189927,-4.71841896504721,0.485996549207011,-9.70874993401937,2.76709826676708e-22,5.46461920717325e-21
"2076","ENSG00000278763","FAM27B","9",67725690,67725902,"family with sequence similarity 27 member B [Source:HGNC Symbol;Acc:HGNC:23667]",6.94849879677027,-4.71534986764799,1.25435332560581,-3.75918791889888,0.000170465767331027,0.000592970942562144
"87","ENSG00000064195","DLX3","17",49990005,49995224,"distal-less homeobox 3 [Source:NCBI gene;Acc:1747]",1.27445912462372,-4.71256506891146,2.12694277872072,-2.21565202226357,0.0267153430939581,0.0589428283374284
"558","ENSG00000127585","FBXL16","16",692498,705808,"F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]",6.27838633244111,-4.6003921280526,1.20112552872211,-3.83006773067842,0.000128107992832211,0.000455108164451324
"222","ENSG00000099960","SLC7A4","22",21028718,21032840,"solute carrier family 7 member 4 [Source:HGNC Symbol;Acc:HGNC:11062]",1.83479386142763,-4.59979181185236,2.07916687720812,-2.21232449510205,0.026944251775992,0.0593722705606847
"1846","ENSG00000234338","AC073349.2","7",64835280,64836882,"endogenous retroviral family W, env(C7), member 2 (ERVWE2) pseudogene",4.02644468143276,-4.57307243837213,1.29151052046959,-3.5408712247341,0.000398808173222105,0.00129908926471952
"1362","ENSG00000175264","CHST1","11",45647689,45665622,"carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]",144.415096127541,-4.55505832855805,0.505023626920968,-9.0194954963382,1.88957474928399e-19,3.10869926047933e-18
"741","ENSG00000138395","CDK15","2",201790461,201895550,"cyclin dependent kinase 15 [Source:HGNC Symbol;Acc:HGNC:14434]",78.6782129096126,-4.51831047318054,0.516982112699525,-8.73978105274723,2.33562635908586e-18,3.59984998006775e-17
"127","ENSG00000073737","DHRS9","2",169064789,169096167,"dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]",2.97920389176088,-4.51486391357009,1.33264330130161,-3.38790125546751,0.000704296151228108,0.00220081811036966
"1455","ENSG00000180875","GREM2","1",240489573,240612155,"gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]",69.1604990230785,-4.51405793383347,0.73604363061019,-6.13286732756759,8.63091241930614e-10,6.22537205078665e-09
"655","ENSG00000134343","ANO3","11",26309599,26663289,"anoctamin 3 [Source:HGNC Symbol;Acc:HGNC:14004]",3.89055792853536,-4.48880564306433,1.33085310129115,-3.37287837305968,0.000743868034970006,0.00231319035935227
"1068","ENSG00000162267","ITIH3","3",52794768,52809009,"inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]",3.79902656028434,-4.48181576468743,1.55739787462586,-2.87775900924747,0.00400510973080993,0.0107856994708188
"637","ENSG00000133056","PIK3C2B","1",204422628,204494724,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]",27.2221806966499,-4.47016648525198,0.608634382074776,-7.34458423136335,2.06399678690194e-13,2.14879990526678e-12
"1239","ENSG00000169067","ACTBL2","5",57480018,57482811,"actin, beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780]",5.62764834243218,-4.45205963102457,1.48224403300921,-3.00359423406557,0.00266810907329668,0.007449409955531
"1948","ENSG00000256616","AP002414.2","18",12073232,12076654,"G protein-coupled receptor 125 (GPR125) pseudogene",3.03382225970476,-4.43125827757293,1.21105997086048,-3.65899161411836,0.000253209624734516,0.000854410551017753
"1335","ENSG00000173530","TNFRSF10D","8",23135588,23164027,"TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]",3386.48970620922,-4.4284729474887,0.276535531063515,-16.0141191638465,1.01838679963182e-57,7.50932050563043e-56
"1436","ENSG00000179097","HTR1F","3",87990696,87993835,"5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292]",10.3093733924185,-4.42759921700195,1.16434344155992,-3.80265741100418,0.000143152251797636,0.000505247591184528
"2011","ENSG00000270926","AC008013.3","12",31105105,31106830,"WAS protein family homolog 4 pseudogene",1.88764638002796,-4.42167051529418,1.47226138107341,-3.00331895690314,0.00267052386097584,0.00745513667794414
"446","ENSG00000117152","RGS4","1",163068775,163076802,"regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]",2794.69925051825,-4.41408877748824,0.713867725959417,-6.18334267956411,6.27582748731335e-10,4.5880238110712e-09
"1553","ENSG00000185818","NAT8L","4",2059512,2069089,"N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]",2.6724186509584,-4.40273403239685,1.15691718859566,-3.80557405127774,0.000141475677143206,0.000499760452482953
"1726","ENSG00000205704","LINC00634","22",41952165,41958933,"long intergenic non-protein coding RNA 634 [Source:HGNC Symbol;Acc:HGNC:27930]",2.19276171969584,-4.39775350235461,1.84786987476663,-2.37990432248916,0.0173171336808748,0.0399981885435778
"845","ENSG00000144821","MYH15","3",108380369,108529322,"myosin heavy chain 15 [Source:HGNC Symbol;Acc:HGNC:31073]",99.1645768160154,-4.38413166461561,0.327247226659921,-13.3970017389075,6.29554743384861e-41,3.08422680147714e-39
"1452","ENSG00000180440","SERTM1","13",36674020,36697839,"serine rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792]",3.58244291130433,-4.37074386000563,1.29261097591625,-3.3813296818925,0.000721359368630116,0.00224899554335342
"1237","ENSG00000168913","ENHO","9",34521043,34522990,"energy homeostasis associated [Source:HGNC Symbol;Acc:HGNC:24838]",1.75614406485877,-4.3618470898812,1.23871418582638,-3.52126999092314,0.000429485081735818,0.00139414326057047
"1794","ENSG00000225511","LINC00475","9",92141298,92160114,"long intergenic non-protein coding RNA 475 [Source:HGNC Symbol;Acc:HGNC:23569]",7.47394935644364,-4.33449512467082,1.12678682542977,-3.84677476417741,0.000119682899079277,0.00042749255065797
"1748","ENSG00000213927","CCL27","9",34661880,34664048,"C-C motif chemokine ligand 27 [Source:HGNC Symbol;Acc:HGNC:10626]",3.71899394320149,-4.31959589422593,1.16825629978376,-3.69747280200884,0.000217756541646467,0.00074495850253854
"254","ENSG00000101230","ISM1","20",13221274,13300651,"isthmin 1 [Source:HGNC Symbol;Acc:HGNC:16213]",34.926804042952,-4.31374126862126,0.650971047534244,-6.62662538520092,3.43447756681638e-11,2.8865664469934e-10
"2055","ENSG00000276849","TRBC2","CHR_HSCHR7_2_CTG6",142862134,142863838,"T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]",7.70989782808392,-4.29597037935412,1.56284518520248,-2.74881377888849,0.00598113564324833,0.0154983313804762
"1639","ENSG00000196660","SLC30A10","1",219685427,219958647,"solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]",2.34436614579178,-4.27944322056016,1.32699591412348,-3.22491062332083,0.00126012002050609,0.00375781208908268
