"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"61","ENSG00000275400","AC006001.4","7",66553805,66554199,"translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene",1.88031747073459,20.1212764411558,3.05460549016444,6.58719317631835,4.48218958847438e-11,5.95795051047956e-07
"32","ENSG00000204006","C1orf185","1",51102221,51148086,"chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]",0.528524432997159,18.4218326572668,4.26548841233251,4.31880968285017,1.56872984335971e-05,0.0123092477952224
"52","ENSG00000256349","AP002748.4","11",66509079,66533613,"novel protein",4.55174379193116,18.3093406124926,4.24020275397301,4.31803422497592,1.57425023523627e-05,0.0123092477952224
"33","ENSG00000214676","RPL9P16","4",168755816,168756382,"ribosomal protein L9 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36851]",0.383995841825681,17.8943941182965,4.27058812320636,4.19014749304867,2.78773187537941e-05,0.0195031189228846
"29","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,17.3677581247147,4.27078044355726,4.06664738547144,4.7694325613978e-05,0.0269777371584597
"49","ENSG00000254743","OR10V3P","11",59741325,59742049,"olfactory receptor family 10 subfamily V member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15138]",0.313750918698449,17.2714811154189,4.28366485653182,4.03194033470733,5.53182329455046e-05,0.0274354025363972
"60","ENSG00000275049","AC011295.1","CHR_HSCHR15_5_CTG8",82403250,82412947,"",0.352190134175297,17.21551131983,4.298624937363,4.00488797480221,6.20468783532336e-05,0.0277315829566058
"63","ENSG00000282204","TRBV9","CHR_HSCHR7_2_CTG6",142413602,142414123,"T cell receptor beta variable 9 [Source:HGNC Symbol;Acc:HGNC:12246]",0.348866799344735,17.1570158106833,4.29862296785593,3.99128184513489,6.57171234254717e-05,0.0277315829566058
"28","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",1.14778509744817,17.1312352661424,4.29677945594025,3.98699431558179,6.69156281805264e-05,0.0277961246121765
"6","ENSG00000105675","ATP4A","19",35550043,35563658,"ATPase H+/K+ transporting subunit alpha [Source:HGNC Symbol;Acc:HGNC:819]",0.406668930529013,17.0346269986834,4.25792058193588,4.00069157488573,6.31576322299055e-05,0.0277315829566058
"62","ENSG00000277219","AC146335.2","CHR_HSCHR5_2_CTG1_1",70249980,70275822,"NLR family, apoptosis inhibitory protein (NAIP) pseudogene",2.02006104017162,16.6667968623404,4.26884777500579,3.9042846549659,9.45044971656258e-05,0.0306390494774166
"65","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,16.3798085555637,4.28754798480961,3.82032075526522,0.000133278234401105,0.0360122118464736
"38","ENSG00000230419","AL845454.1","CHR_HSCHR6_MHC_QBL_CTG1",29878575,29879543,"HLA complex group 4 pseudogene 7",0.405387110384336,16.3430709471836,4.29862624838359,3.80192880302842,0.000143573989524031,0.0370574224417122
"51","ENSG00000254974","AP001372.4","11",74485580,74486051,"ribosomal L24 domain containing 1 (RSL24D1) pseudogene",0.337822591986947,16.2664487183546,4.29919265713984,3.7836054384165,0.000154572798033493,0.0387671493935887
"37","ENSG00000229942","IFITM4P","CHR_HSCHR6_MHC_SSTO_CTG1",29748420,29748840,"interferon induced transmembrane protein 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:21669]",0.272426924858011,16.0326628309422,4.30004287208286,3.72848906577907,0.000192631265321142,0.045319488394359
