"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"83","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,25.5945439704933,3.97294686127758,6.44220646894403,1.17748944169224e-10,6.26071136147765e-07
"91","ENSG00000220793","RPL21P119","16",9156402,9156881,"ribosomal protein L21 pseudogene 119 [Source:HGNC Symbol;Acc:HGNC:35614]",1.33123433928356,20.9661386679392,4.24284462489321,4.94152874345874,7.75123862774626e-07,0.000686888929728781
"102","ENSG00000235680","HLA-G","CHR_HSCHR6_MHC_MANN_CTG1",29823861,29828018,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]",3.58232714151009,19.7097412323163,4.26949585197428,4.61640950493072,3.90436159338414e-06,0.00259493632400294
"100","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,18.5762122131561,4.27101889573321,4.34936315353554,1.3653345231897e-05,0.00659953059981784
"141","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.84529341416719,18.4291476542891,4.29699348142044,4.28884701221306,1.79603025556304e-05,0.00782745317117104
"124","ENSG00000262113","AC010614.1","CHR_HSCHR19_1_CTG3_1",34303449,34303913,"ribosomal protein L29 (RPL29) pseudogene",0.68637032181742,18.3193393487623,4.27608351518894,4.28413974696489,1.83447586571482e-05,0.00786605498226264
"39","ENSG00000135925","WNT10A","2",218880852,218899581,"Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]",0.653845804100093,18.0233412395035,4.26378033990451,4.22708015017188,2.36743356164664e-05,0.00983409706818374
"144","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",4.31752520935488,18.0169976084419,4.29601980673466,4.19388141092776,2.74221381360723e-05,0.0107208462109924
"112","ENSG00000242931","RPL7P49","17",76430417,76431124,"ribosomal protein L7 pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:36912]",0.501061666646065,17.6133239886644,4.24969791896769,4.14460611660204,3.40398298477943e-05,0.0117878828709935
"135","ENSG00000275758","DDTL","CHR_HSCHR22_1_CTG7",23966902,23972534,"D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]",2.03349593276608,17.6113726591308,4.2962587092816,4.0992346715721,4.1451857363995e-05,0.0136049089879236
