"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"42","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",11.6264311532977,25.922338894005,4.23603208797628,6.11948596130421,9.38777002205329e-10,1.44637416835145e-06,0.880800666050879
"33","ENSG00000234196","ZBTB12","CHR_HSCHR6_MHC_MCF_CTG1",31976089,31978474,"zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]",2.02429262021054,19.3934371695477,4.29628654554853,4.51399993085694,6.36162373281191e-06,0.0115619756856207,0.149153850633211
"26","ENSG00000196826","AC008758.1","19",12461559,12551474,"novel zinc finger protein",6.74481785414038,19.3040538228419,4.23681447131596,4.55626602333758,5.20709820060182e-06,0.00263035365378759,0.880800666050879
"47","ENSG00000262304","AC027796.3","17",3585149,3636249,"novel readthrough SHPK-TRPV1 protein",2.28118609755304,19.3007902678202,3.95314807668348,4.8823848470692,1.04810447062197e-06,0.000472405275827676,1.50541308981526
"8","ENSG00000113889","KNG1","3",186717276,186744410,"kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]",0.542235035501639,19.2637376925403,4.26809536368179,4.51342719669759,6.37883528482402e-06,0.00216024358574167,1.38177240439148
"13","ENSG00000147223","RIPPLY1","X",106900063,106903341,"ripply transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:25117]",0.828094587287483,18.045843554307,3.5948588714159,5.01990320059474,5.16975243229218e-07,0.000472405275827676,0.754237487620879
"49","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,18.0021182091961,4.25503784280021,4.23077746292123,2.32884983587098e-05,0.00880756090495212,0.764811117946627
"51","ENSG00000271499","AC011477.6","19",19750618,19752544,"sorting nexin 18 (SNX18) pseudogene",0.388136239857387,17.9211119335996,4.27058203142514,4.19640971692543,2.71179489022113e-05,0.00649579507552176,1.38177240439148
"43","ENSG00000258864","AC008575.1","5",112827213,112867582,"novel transcript",2.74605594529889,17.6101649469197,3.16508389639664,5.56388567360518,2.63832830651401e-08,3.12682589336806e-05,0.880800666050879
"37","ENSG00000249965","CDC42P4","4",109555170,109555732,"cell division cycle 42 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44428]",0.436777159921501,17.2968722299017,4.27633656647699,4.04478739243658,5.23706288610414e-05,0.00774940774547844,2.15919442053721
"32","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.9591294388432,17.141209931967,4.26970112656428,4.01461587681667,5.95426857268256e-05,0.0155487193005941,0.880800666050879
"52","ENSG00000274985","PTCHD3P1","10",29421476,29422012,"patched domain containing 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44945]",6.28471015324067,17.0822546630363,4.26098220841039,4.00899459972375,6.09778108566477e-05,0.015419927994549,0.929758500435435
"44","ENSG00000259092","TRAV30","14",22168429,22168988,"T cell receptor alpha variable 30 [Source:HGNC Symbol;Acc:HGNC:12129]",0.246057245871138,16.6873021174676,4.30003952641991,3.88073226186388,0.000104142436923292,0.0197424764632368,1.03746620628117
"28","ENSG00000223131","RNA5SP304","10",22997255,22997358,"RNA, 5S ribosomal pseudogene 304 [Source:HGNC Symbol;Acc:HGNC:43204]",0.246057245871138,16.6872994843749,4.30003952644548,3.8807316494993,0.000104142699161031,0.0197424764632368,1.03746620628117
"58","ENSG00000284396","AC275455.2","CHR_HSCHR1_6_CTG3",108487922,108488296,"",0.525819059745175,16.4057442974557,4.27297870348678,3.8394163500203,0.000123327138581495,0.01364532608586,2.2849866370119
"35","ENSG00000239732","TLR9","3",52221080,52226163,"toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]",0.681174762277404,16.3614274747794,4.2754341830497,3.82684582998507,0.000129795750183823,0.0285143428678129,0.764811117946627
"31","ENSG00000229221","HNRNPA1P66","2",63751697,63752630,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:48796]",0.339781730916414,16.264945226452,4.29919525013332,3.78325344166391,0.000154791654646691,0.0162143816956533,2.15919442053721
"4","ENSG00000100427","MLC1","22",50059391,50085902,"megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:HGNC Symbol;Acc:HGNC:17082]",2.13444878768159,16.2308277430584,3.10777270887006,5.22265598662769,1.76374872404719e-07,0.000729416211335116,0.149153850633211
"23","ENSG00000176134","AL445665.1","9",64637845,64652556,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L) pseudogene",0.331159049455744,16.221179277958,4.29862405752213,3.77357476738926,0.000160924961816695,0.0213457419797626,1.42708297354738
"41","ENSG00000255274","SMIM35","11",118003634,118088299,"small integral membrane protein 35 [Source:HGNC Symbol;Acc:HGNC:44179]",1.41565341938488,16.1037871506755,3.34567068244368,4.81332105851892,1.48442519350313e-06,0.00122035650789505,0.67375400542619
