"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-29.8230583140155,4.23710391968232,-7.0385477626547,1.94253717697212e-12,1.2910587712451e-08
"56","ENSG00000198822","GRM3","7",86643914,86864884,"glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595]",0.469368056387601,-25.8384704256504,4.30632869764863,-6.00011569942603,1.9717698256526e-09,6.55243760187179e-06
"106","ENSG00000272104","Z84492.2","3",50350892,50367923,"novel protein",0.834491690631406,-23.7948458110275,4.26963236396195,-5.57304324650269,2.50327396908318e-08,5.1191952667751e-05
"65","ENSG00000223624","AL033528.1","1",25888970,25889109,"ribosomal protein L39 (RPL39) pseudogene",0.257032683183941,-23.5096419734032,4.32768641261635,-5.43238112282499,5.5606997623844e-08,7.78058964120996e-05
"86","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-23.0463934096664,4.28336695876842,-5.38043871363588,7.43045327278357e-08,9.40660001223577e-05
"123","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-23.0463934096664,4.28336695876842,-5.38043871363588,7.43045327278357e-08,9.40660001223577e-05
"59","ENSG00000206181","ELOA2","18",47032572,47035621,"elongin A2 [Source:HGNC Symbol;Acc:HGNC:30771]",0.281499583370699,-22.789630482547,4.319267074595,-5.27627259184567,1.31837935794269e-07,0.00015238745752568
"74","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,-22.033768587299,4.28362835734923,-5.14371620252645,2.69356340919178e-07,0.000298368263472348
"51","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,-21.9226721453537,4.30719673882541,-5.08977729012028,3.58484292754308e-07,0.00036655018934128
"87","ENSG00000239861","AP001486.1","11",103045237,103045712,"ribosomal protein L21 (RPL21) pseudogene",0.446204958947707,-21.4027279121592,4.27363305930963,-5.00808740833184,5.49735697846063e-07,0.000541286056564355
