"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"92","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,-27.3312766245506,3.97299174535027,-6.87926841442279,6.01607121080438e-12,5.33124177130782e-08
"118","ENSG00000235680","HLA-G","CHR_HSCHR6_MHC_MANN_CTG1",29823861,29828018,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]",3.58232714151009,-27.0494238892691,4.26947503891485,-6.33553859496136,2.36513599028545e-10,1.25754280603478e-06
"166","ENSG00000286015","CR589904.2","1",248681249,248748349,"novel protein",0.569940538381134,-26.3339011298924,4.30747155079486,-6.11354034945001,9.74447179492256e-10,3.70081118097166e-06
"100","ENSG00000220793","RPL21P119","16",9156402,9156881,"ribosomal protein L21 pseudogene 119 [Source:HGNC Symbol;Acc:HGNC:35614]",1.33123433928356,-25.1059117683365,4.24285202100983,-5.91722540499093,3.27417848860575e-09,9.67155945773154e-06
"143","ENSG00000263045","AC090286.3","17",18986148,18986334,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1) pseudogene",0.319168757293609,-24.9009806341433,4.32481155260842,-5.75770304237298,8.52661801810354e-09,1.76754564254391e-05
"152","ENSG00000275300","MCCC2","CHR_HSCHR5_2_CTG1_1",70802600,70819771,"methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]",1.74134334271157,-24.1954262690614,4.25475354385232,-5.68668103091923,1.29532065726544e-08,2.45972140524299e-05
"106","ENSG00000226984","AL035410.1","1",114459934,114460360,"ribosomal protein L26 (RPL26) pseudogene",0.261225993922343,-23.9020946732353,4.32791934850062,-5.52276804361339,3.33700155995495e-08,5.51251429945205e-05
"141","ENSG00000262113","AC010614.1","CHR_HSCHR19_1_CTG3_1",34303449,34303913,"ribosomal protein L29 (RPL29) pseudogene",0.68637032181742,-21.5876768427057,4.27609441070379,-5.0484565515364,4.45393735636974e-07,0.00049336635257954
"163","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",4.31752520935488,-21.1841164986978,4.29602218763252,-4.93110034666095,8.17677144960254e-07,0.00083607488072186
"75","ENSG00000180828","BHLHE22","8",64580367,64583628,"basic helix-loop-helix family member e22 [Source:HGNC Symbol;Acc:HGNC:11963]",0.303905117161802,-20.6124149181769,4.27698736471857,-4.81937708963355,1.44007138504363e-06,0.00132014819901327
"114","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,-20.6045145491227,4.27109889509954,-4.82417173078417,1.40586250869046e-06,0.00132014819901327
"48","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-20.4086481869877,4.32794324795535,-4.71555355921761,2.4105447058879e-06,0.00183098088588656
"136","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,-20.3928317636753,4.26777062962279,-4.77833359228066,1.76753958218479e-06,0.00151580773523815
"154","ENSG00000275758","DDTL","CHR_HSCHR22_1_CTG7",23966902,23972534,"D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]",2.03349593276608,-20.1755960136517,4.29626116448553,-4.69608230068287,2.65198723339948e-06,0.00195841890555348
