"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"8","ENSG00000136872","ALDOB","9",101420560,101449664,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",51.1895416765798,7.90710440668294,0.996079472224451,7.93822644394502,2.05092657625166e-15,1.50753994758903e-11
"11","ENSG00000143546","S100A8","1",153390032,153391073,"S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]",13.4573929017386,6.88416586363196,1.0703617695689,6.43162532458966,1.26246627294374e-10,4.65765890298043e-07
"13","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",8.93971429286633,6.78141872367319,1.36469541993699,4.96918112613456,6.72362422394643e-07,0.000921152496356515
"18","ENSG00000163220","S100A9","1",153357854,153361023,"S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]",10.193090843353,6.63607976255159,1.08171311441638,6.1347871945992,8.52732636634944e-10,2.35951120556889e-06
"1","ENSG00000005421","PON1","7",95297676,95324707,"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",2.50394550886568,6.33609208824763,1.23357725311057,5.13635613194927,2.80116606125991e-07,0.00044290437094321
"24","ENSG00000171557","FGG","4",154604134,154612967,"fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]",6.05878464679844,6.25245771860375,1.12718144898614,5.54698422709814,2.90638949475198e-08,6.43358378558299e-05
"10","ENSG00000140284","SLC27A2","15",50182196,50236385,"solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]",4.41647938720363,6.0754191910722,1.13167214899737,5.36853292400528,7.93797015487137e-08,0.000146429089456861
"12","ENSG00000145321","GC","4",71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,6.01920378113396,1.22781023604264,4.90238931427584,9.4677963685307e-07,0.00116432855785442
"14","ENSG00000151365","THRSP","11",78063861,78068351,"thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]",2.22903289579607,5.71752748339646,1.32773483140653,4.30622692735991,1.66062702843032e-05,0.0131284428219049
"30","ENSG00000240520","UOX","1",84363706,84397831,"urate oxidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:12575]",3.01774788004189,5.45468444116953,1.21550837925621,4.48757452787562,7.20386150538646e-06,0.00664436159513478
"3","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,5.2090702254455,0.624139300490761,8.34600580567448,7.06103384176818e-17,7.81515225606902e-13
"33","ENSG00000256069","A2MP1","12",9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,5.00739013877841,1.13949160972427,4.39440720409522,1.11075437816911e-05,0.00975632021047719
