"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"87","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,-25.9414129628495,4.29693766406853,-6.03718624539856,1.56824685031183e-09,1.0422960628885e-05
"86","ENSG00000273825","FP700111.2","1",144754572,144786606,"otopetrin 1 (OTOP1) pseudogene",0.684996614256606,-25.7961536126345,4.25040261851208,-6.06910825348232,1.28622428712116e-09,1.0422960628885e-05
"39","ENSG00000220793","RPL21P119","16",9156402,9156881,"ribosomal protein L21 pseudogene 119 [Source:HGNC Symbol;Acc:HGNC:35614]",1.33123433928356,-24.9835765695599,4.24285202100983,-5.88839215835145,3.89970883458242e-09,2.07347518734747e-05
"47","ENSG00000229473","RGS17P1","13",40992779,40993331,"regulator of G protein signaling 17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39729]",0.304771627873299,-23.4637313413694,4.32794324798121,-5.42145079012164,5.91172718926356e-08,0.00017462585258508
"6","ENSG00000111780","AL021546.1","12",120438198,120460006,"novel protein",0.911338649792569,-23.4283701844057,4.27152640437345,-5.48477709523656,4.13991094166723e-08,0.000137574415480279
"23","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,-21.4623794818137,4.3279432479452,-4.95902516559189,7.08477901820636e-07,0.00171226227453651
"97","ENSG00000285259","AC270285.6","CHR_HG76_PATCH",8099349,8101940,"",4.31752520935488,-21.0666324538016,4.29602218763252,-4.9037531776369,9.40226207035875e-07,0.00208299280950406
"45","ENSG00000228978","TNF","CHR_HSCHR6_MHC_APD_CTG1",31643520,31645322,"tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]",0.936858617985909,-20.5913351024699,4.29912290784963,-4.78965955238749,1.67064515300989e-06,0.00296635580214777
"61","ENSG00000239959","ENPP7P2","3",75446769,75491202,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48685]",0.310909472518247,-20.3096038871747,4.32794324796742,-4.69266871665031,2.69663978651934e-06,0.00398278715136759
"73","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,-20.0660387886736,4.26777062962279,-4.70176130118014,2.57926917608431e-06,0.00398278715136759
"90","ENSG00000275758","DDTL","CHR_HSCHR22_1_CTG7",23966902,23972534,"D-dopachrome tautomerase like [Source:HGNC Symbol;Acc:HGNC:33446]",2.03349593276608,-20.0181100008631,4.29626116448553,-4.65942577381938,3.17092710974123e-06,0.00421495486062353
"94","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,-19.7947862774029,4.26764876226447,-4.63833538796186,3.51226509459204e-06,0.00428941358858183
"13","ENSG00000135925","WNT10A","2",218880852,218899581,"Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]",0.653845804100093,-19.7675419519188,4.26378677342267,-4.63614692815673,3.54963697381231e-06,0.00428941358858183
"51","ENSG00000231759","CYP21A1P","CHR_HSCHR6_MHC_DBB_CTG1",31987818,31990633,"cytochrome P450 family 21 subfamily A member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:2599]",0.359887684056897,-19.4184943100605,4.27072671293559,-4.54688291134243,5.44462677879602e-06,0.00603105845476218
"82","ENSG00000267303","AC011511.4","19",10315471,10320678,"novel transcript",2.23671779325131,-19.2399609072986,4.22169513940893,-4.55740177155291,5.17902980203133e-06,0.00598628292552187
"96","ENSG00000283976","AC244216.3","CHR_HG1342_HG2282_PATCH",13185912,13187021,"",0.84529341416719,-18.9691556336942,4.29699995845569,-4.41451147709844,1.01238345292985e-05,0.00940410518908323
"75","ENSG00000258917","ZMYND19P1","14",77696591,77697377,"zinc finger MYND-type containing 19 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44540]",0.369226127112254,-18.7850135798756,4.25804296487431,-4.41165430570758,1.02583806839727e-05,0.00940410518908323
"84","ENSG00000269881","AC004754.1","16",249547,269943,"novel protein",0.742491232766542,-18.6949647566705,4.25648021731923,-4.39211832363332,1.12251576740488e-05,0.00994736055881962
