"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"91","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,-30,3.96786953836098,-7.56073245603539,4.00805898738375e-14,5.12791066845878e-10
"153","ENSG00000275300","MCCC2","CHR_HSCHR5_2_CTG1_1",70802600,70819771,"methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]",1.74134334271157,-29.974690310558,4.25697728408197,-7.04130849432571,1.90442831319396e-12,1.62435038926691e-08
"160","ENSG00000286015","CR589904.2","1",248681249,248748349,"novel protein",0.569940538381134,-26.6320694131782,4.30917813740995,-6.18031294226921,6.39746582336234e-10,3.27396710976391e-06
"105","ENSG00000226984","AL035410.1","1",114459934,114460360,"ribosomal protein L26 (RPL26) pseudogene",0.261225993922343,-23.7280954376158,4.32794324799008,-5.48253386839932,4.19276698985789e-08,8.25265551819106e-05
"147","ENSG00000263045","AC090286.3","17",18986148,18986334,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1) pseudogene",0.319168757293609,-23.6153640387796,4.30612170375594,-5.48413762160543,4.15491234475963e-08,8.25265551819106e-05
"121","ENSG00000235680","HLA-G","CHR_HSCHR6_MHC_MANN_CTG1",29823861,29828018,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]",3.58232714151009,-22.454250875879,4.29699324175538,-5.22557276974122,1.73616821207009e-07,0.000248177009299966
"47","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-21.5689208219902,4.28923840186434,-5.02861319450445,4.94039839976363e-07,0.000593617730299219
"74","ENSG00000180871","CXCR2","2",218125289,218137251,"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]",0.457100981685739,-21.2384408350452,4.26580673016331,-4.97876302854259,6.39919345829092e-07,0.000711924183524992
"116","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,-20.4650985688364,4.2705333715424,-4.79216453504611,1.64991503432928e-06,0.00145579399649716
"92","ENSG00000204006","C1orf185","1",51102221,51148086,"chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]",0.528524432997159,-20.3672945515023,4.26549230094613,-4.77489891307145,1.79797545831878e-06,0.00153355320091536
"112","ENSG00000232344","AC087163.2","17",18010643,18011822,"ribosomal protein S2 (RPS2) pseudogene",0.446796233731938,-20.3369897754817,4.27637154901428,-4.75566482995836,1.97794398879266e-06,0.00156565247579398
"140","ENSG00000258524","NT5CP1","14",73571159,73571667,"5',3'-nucleotidase, cytosolic pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20046]",0.504204575069556,-20.2563526911142,4.26315253009215,-4.75149611657839,2.01917038069413e-06,0.00156565247579398
"85","ENSG00000188581","KRTAP1-1","17",41040541,41041450,"keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]",1.14778509744817,-20.2016594749251,4.29678124821977,-4.70157969603292,2.58156466539048e-06,0.00172873392329251
