"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"32","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,20.0382109027636,4.23710757070959,4.72921930075234,2.25384829661299e-06,0.00178891480334592
"75","ENSG00000249141","AL159163.1","6",166858094,166956124,"novel protein",0.84205720617122,19.241754279808,4.22114142227989,4.55842445321704,5.15387968985533e-06,0.00326228313225724
"87","ENSG00000272104","Z84492.2","3",50350892,50367923,"novel protein",0.834491690631406,18.4106685276517,4.26964063866038,4.31199486929845,1.61788189151527e-05,0.00754585790981287
"106","ENSG00000284554","AL022318.4","22",39014363,39033276,"novel protein",3.39799677684612,18.1269954409736,4.2684780409948,4.2467116538683,2.16930849843342e-05,0.00961184440514209
"110","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,17.822871651201,4.2734603970091,4.17059478629422,3.03805656587983e-05,0.0122373839096841
"98","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,17.7902984437759,4.29608552404199,4.14104848337327,3.4572186791268e-05,0.0129450927583924
"63","ENSG00000231287","HCG4B","CHR_HSCHR6_MHC_APD_CTG1",29920067,29921057,"HLA complex group 4B [Source:HGNC Symbol;Acc:HGNC:22919]",2.41039393603121,17.3364333236398,2.67674626115711,6.47668162470715,9.37617391532775e-11,6.23163958847471e-07
"72","ENSG00000239861","AP001486.1","11",103045237,103045712,"ribosomal protein L21 (RPL21) pseudogene",0.446204958947707,17.3313091031974,4.27363567401345,4.05540163579767,5.00482308958373e-05,0.0164263236835288
"77","ENSG00000251038","AC090958.1","3",11909634,11910765,"novel pseudogene",0.325464813298622,17.2923734400015,4.28358880652612,4.03688921160134,5.41646313214498e-05,0.0166089278073339
"82","ENSG00000266695","AC090958.2","CHR_HSCHR3_1_CTG1",11911555,11912686,"novel pseudogene",0.325464813298622,17.2923734400015,4.28358880652612,4.03688921160134,5.41646313214498e-05,0.0166089278073339
"80","ENSG00000256349","AP002748.4","11",66509079,66533613,"novel protein",4.55174379193116,17.2265446255442,4.24528945549631,4.05780213719968,4.95367086291523e-05,0.0164263236835288
"71","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1271583149518,4.28333183862185,3.99855975680427,6.37290922283027e-05,0.0177485619762003
"104","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1271583149518,4.28333183862185,3.99855975680427,6.37290922283027e-05,0.0177485619762003
"62","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,16.9854638553382,4.2836486629223,3.96518603459668,7.33387264164903e-05,0.0188551246042713
"68","ENSG00000235028","HMGN1P30","18",58018794,58019061,"high mobility group nucleosome binding domain 1 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:39374]",0.247189431432986,16.5576159063415,4.30003946033984,3.85057301428413,0.000117841791494673,0.0239146872281365
