"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",27.1618802512846,-22.3890848186648,3.21579891341396,-6.96221543121803,3.34962742201456e-12,4.52886375593478e-08
"9","ENSG00000224200","FKBPL","CHR_HSCHR6_MHC_DBB_CTG1",32104478,32106062,"FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]",0.687013246888691,-17.8478033173549,4.1891295919106,-4.26050398436464,2.03966446010701e-05,0.0694677042756957
"2","ENSG00000117601","SERPINC1","1",173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,-4.47296010397098,0.556098703543976,-8.04346436246863,8.73336136496733e-16,2.36158824670081e-11
"1","ENSG00000005421","PON1","7",95297676,95324707,"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]",2.50394550886568,-4.43081733990496,1.0746210538224,-4.12314399028814,3.7373590609845e-05,0.0872038309710852
"5","ENSG00000145321","GC","4",71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,-4.34272754470097,0.859964593429571,-5.0498910977044,4.42062005632496e-07,0.00298844967357708
"4","ENSG00000134240","HMGCS2","1",119747996,119768905,"3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]",3.32811602602163,-3.68794466547227,0.873389826670769,-4.22256425808183,2.4153850505513e-05,0.0694677042756957
"8","ENSG00000197582","GPX1P1","X",13378735,13379340,"glutathione peroxidase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4560]",9.41191124926858,-1.8244042386776,0.448320924478563,-4.06941576684057,4.71311753313438e-05,0.0980364701642207
"3","ENSG00000130649","CYP2E1","10",133520406,133561220,"cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]",27.0571678630146,-1.55458066945579,0.368775683437799,-4.21551837410667,2.49205099985729e-05,0.0694677042756957
"7","ENSG00000168952","STXBP6","14",24809656,25050297,"syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]",56.293779189927,-1.22672547450481,0.270211500221466,-4.53987144699386,5.62885363580405e-06,0.0304419662331555
"6","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,-0.992626238076423,0.172351707987779,-5.75930607050791,8.44604329514728e-09,7.61298189146925e-05
