"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"72","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",2.1148858919434,21.1852463784111,4.08300999196313,5.188634468226,2.11841762831221e-07,0.00173656631626972,0.202692132028882
"17","ENSG00000134917","ADAMTS8","11",130404923,130428609,"ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]",0.490948818449818,19.2519476687098,4.24657260202672,4.5335260863129,5.80070984789118e-06,0.00177819732411029,4.33618556318957
"53","ENSG00000232149","FERP1","X",123603139,123603931,"FER tyrosine kinase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26443]",0.662769763574099,18.6180168661841,4.23362432121886,4.39765445716826,1.09427008394561e-05,0.00878390598391855,0.597273485211001
"68","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,18.1840393390133,4.29595983181087,4.2328234087208,2.30775707756649e-05,0.0133854223839324,0.650172910269418
"58","ENSG00000236060","HSPB1P1","9",72007881,72008136,"heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]",0.371650725868916,17.8829639375494,4.28325762340264,4.17508483259129,2.97875030534231e-05,0.00572792970342235,4.32039153803089
"51","ENSG00000231802","AC009502.2","2",219684030,219684795,"DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6) pseudogene",0.695778685392084,17.8487630865999,3.75767024303354,4.74995460809535,2.03462313219526e-06,0.00310760614143766,0.756775102170379
"1","ENSG00000006047","YBX2","17",7288263,7294639,"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]",0.551548997063251,17.7507286817347,4.27347642166771,4.15369758254279,3.27145476714125e-05,0.00621058604139429,4.19351661524999
"62","ENSG00000237669","AL671277.2","6",30006121,30007116,"HLA complex group 4 pseudogene 3",0.427226883728811,17.6739402010813,4.29821717507188,4.11192349785949,3.9237632775942e-05,0.00710711021699543,4.19351661524999
"84","ENSG00000284964","AC242842.2","1",149607467,149608516,"poly(ADP-ribose) polymerase family member 8 (PARP8) pseudogene",0.447524919371794,17.440186752125,4.25684284933078,4.09697688390512,4.18580682720654e-05,0.00712862036099406,4.33618556318957
"66","ENSG00000240974","RPS27AP10","5",141588935,141589142,"ribosomal protein S27a pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:36570]",0.452597501393542,17.3525579253313,4.25724497961547,4.07600643336682,4.58157516964828e-05,0.00746818459004745,4.33618556318957
"55","ENSG00000232724","TRIM80P","17",75074306,75079549,"tripartite motif containing 80, pseudogene [Source:HGNC Symbol;Acc:HGNC:51490]",0.324437440428706,17.3028431967795,4.28355851517272,4.03936193132215,5.35968066546675e-05,0.00746818459004745,4.33618556318957
"54","ENSG00000232230","TPM4P1","10",100114417,100115223,"tropomyosin 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45234]",0.303164340671442,17.248417992184,4.2836793671356,4.02654272504938,5.66029583040031e-05,0.020623679571273,0.656400226448846
"52","ENSG00000232136","DUXAP7","20",18642782,18643634,"double homeobox A pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:32186]",0.382074262329051,17.1140828583747,4.27384538741964,4.00437575695911,6.21814606534539e-05,0.00782886011367565,4.33618556318957
"9","ENSG00000114547","ROPN1B","3",125969160,125983454,"rhophilin associated tail protein 1B [Source:HGNC Symbol;Acc:HGNC:31927]",0.296193880441776,17.0531634252265,4.28373263137358,3.98091218399837,6.86513100153605e-05,0.021808860296862,0.709202921180666
"79","ENSG00000281429","FAM20C","CHR_HSCHR7_1_CTG1",196274,199037,"FAM20C, golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]",1.09305852420619,17.0382593673718,4.29672303263845,3.96540787896894,7.32705464967899e-05,0.0237779804680977,0.650172910269418
"64","ENSG00000239959","ENPP7P2","3",75446769,75491202,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48685]",0.310909472518247,16.9857766881252,4.28363350718898,3.96527309341916,7.33119632864921e-05,0.00848062355670336,4.33618556318957
"33","ENSG00000198211","AC092143.1","16",89919165,89936092,"novel protein (MC1R-TUBB3 readthrough)",0.724705638835931,16.7798001143974,4.27578493490747,3.92437888477675,8.69537919752682e-05,0.0251910954315213,0.650172910269418
"22","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,16.7466075287302,4.27206583659105,3.92002561975809,8.85395557573023e-05,0.0237779804680977,0.756775102170379
"74","ENSG00000260873","SNTB2","CHR_HSCHR16_2_CTG3_1",69187122,69187739,"syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]",0.298044678674681,16.6677174514257,4.29919484221272,3.87693930216178,0.000105778733448881,0.0282647108121382,0.656400226448846
