"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"68","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,-29.8144827884269,4.235934458747,-7.03846650102468,1.94367016353792e-12,4.77909619810705e-08
"41","ENSG00000233494","AC009963.2","2",107902997,107903134,"pseudogene similar to part of plasminogen (PLG)",0.653575675103002,-29.3022365200116,4.28013275114112,-6.84610460089102,7.58880000522123e-12,9.32967072641898e-08
"47","ENSG00000240925","RPS20P31","12",120247460,120247791,"ribosomal protein S20 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:35767]",0.459238873465425,-25.487417913528,4.29472587486114,-5.93458550235225,2.94588780649421e-09,1.44866978772159e-05
"60","ENSG00000261459","AC002310.5","16",30525923,30534852,"novel transcript",2.66884157475864,-23.6296074087544,3.91686782686948,-6.03278140933341,1.61161352425753e-09,9.90658833361103e-06
"51","ENSG00000250111","AC107982.1","17",18835707,18842364,"coiled-coil domain-containing protein 144B-like [Source:NCBI gene;Acc:101929141]",1.4881313844529,-23.4758427463692,4.26702261229335,-5.50169166639404,3.76164381477204e-08,0.000132130425882307
"44","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-22.8747826926741,4.28336695876842,-5.34037426932276,9.27548883980168e-08,0.000228065719593044
"80","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-22.8747826926741,4.28336695876842,-5.34037426932276,9.27548883980168e-08,0.000228065719593044
"36","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,-22.097075632904,4.28362835734923,-5.15849503960655,2.48942702325377e-07,0.000470846397290489
"21","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,-22.0263083432319,4.30719673882541,-5.113838461263,3.15677343795888e-07,0.000554419609232379
"10","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",0.966183886233805,-21.5210554690089,4.14004502536808,-5.19826604231086,2.01156093980431e-07,0.000421284070057999
"82","ENSG00000285404","Z82190.2","22",31754899,31956243,"novel protein, DEPDC5-YWHAH readthrough",1.04405940665371,-20.9661426549611,4.27360490244301,-4.9059618597348,9.29705911974283e-07,0.00152397393090824
"75","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,-20.6770909317511,4.29608748431168,-4.81300509062235,1.48677500530975e-06,0.00215040140179742
"46","ENSG00000240433","LY6G5B","CHR_HSCHR6_MHC_MANN_CTG1",31709833,31713000,"lymphocyte antigen 6 family member G5B [Source:HGNC Symbol;Acc:HGNC:13931]",2.61250127358326,-19.8970356299367,3.64814741870339,-5.45401085710741,4.92461931341784e-08,0.000151358174597897
"52","ENSG00000251038","AC090958.1","3",11909634,11910765,"novel pseudogene",0.325464813298622,-19.2224650464259,4.28358118832446,-4.48747536262874,7.20721435792028e-06,0.00681580717817476
"62","ENSG00000266695","AC090958.2","CHR_HSCHR3_1_CTG1",11911555,11912686,"novel pseudogene",0.325464813298622,-19.2224650464259,4.28358118832446,-4.48747536262874,7.20721435792028e-06,0.00681580717817476
"74","ENSG00000277219","AC146335.2","CHR_HSCHR5_2_CTG1_1",70249980,70275822,"NLR family, apoptosis inhibitory protein (NAIP) pseudogene",2.02006104017162,-18.8879478910577,4.26972946817654,-4.42368726914309,9.70304478624789e-06,0.00883623945200974
"12","ENSG00000170074","FAM153A","5",177707981,177783398,"family with sequence similarity 153 member A [Source:HGNC Symbol;Acc:HGNC:29940]",0.392068229106916,-18.7003940590337,4.30577098245502,-4.34310002441683,1.40486131670865e-05,0.0119112862259421
"81","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,-18.4131158477974,4.2711263614987,-4.31106792198403,1.62467986604621e-05,0.012970155772637
"83","ENSG00000285447","ZNF883","9",112997120,113050043,"zinc finger protein 883 [Source:NCBI gene;Acc:169834]",0.954426132193175,-18.412137306339,4.27232023698044,-4.30963417652236,1.63524820624592e-05,0.012970155772637
"57","ENSG00000257169","AC125612.1","12",96386818,96387194,"small nuclear ribonucleoprotein D1 polypeptide 16kDa (SNRPD1) pseudogene",0.381363367113727,-18.2883946175533,4.30920766819076,-4.2440272146902,2.19543709166639e-05,0.0155506531105201
"65","ENSG00000269307","AC010463.1","19",17267418,17282966,"novel transcript",0.835607725376223,-18.2210204828196,4.27337345422233,-4.26384931670698,2.0093497444357e-05,0.0149714822776318
"66","ENSG00000269547","AC011455.2","19",38915404,38949855,"novel protein",0.376143103451881,-18.0424936563108,4.29862732416597,-4.19726863849763,2.70153412501163e-05,0.0170321336066118
"79","ENSG00000282835","AC011455.3","CHR_HG26_PATCH",38915440,38949891,"novel protein",0.376143103451881,-18.0424936563108,4.29862732416597,-4.19726863849763,2.70153412501163e-05,0.0170321336066118
"54","ENSG00000254899","BX248516.1","CHR_HSCHR6_MHC_SSTO_CTG1",31520968,31537331,"ATPase H+ transporting lysosomal 13kDa V1 subunit G isoform 2 (ATP6V1G2) and HLA-B associated transcript 1 (BAT1) readthrough",0.344103628795342,-17.7702701523096,4.29862672691471,-4.13394120523323,3.56594735791345e-05,0.0208702601655798
"49","ENSG00000248557","AC024558.1","3",126624792,126626061,"methyltransferase like 5 (METTL5) pseudogene",0.553550851197572,-17.7624148523526,4.064518757069,-4.37011511423346,1.2418105472288e-05,0.0109048706197363
"27","ENSG00000221930","FAM45BP","X",130494965,130496588,"family with sequence similarity 45 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:30886]",0.472981028140983,-17.6691817603451,4.27970605862829,-4.12859703874343,3.6498340130142e-05,0.0208702601655798
"78","ENSG00000278695","GSTT2B","CHR_HSCHR22_1_CTG7",23957418,23961206,"glutathione S-transferase theta 2B (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:33437]",0.564913398537322,-17.5699017358165,4.28338477470062,-4.10187332214265,4.09818633814394e-05,0.0217160124863467
"29","ENSG00000226896","OR2I1P","CHR_HSCHR6_MHC_APD_CTG1",29553320,29554267,"olfactory receptor family 2 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]",0.487697386067072,-17.3853187923912,4.28418900122013,-4.0580186325673,4.94908201190465e-05,0.0217160124863467
"33","ENSG00000230118","AC092569.1","2",30746444,30746701,"ribosomal protein L15 (RPL15) pseudogene",0.387317928658602,-17.3545486348007,4.32120286369904,-4.01613837216262,5.91595288122986e-05,0.0220396135520727
"67","ENSG00000273944","RDH13","CHR_HSCHR19LRC_LRC_J_CTG3_1",55077480,55096373,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"69","ENSG00000274418","RDH13","CHR_HSCHR19LRC_PGF1_CTG3_1",54972739,54991632,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"70","ENSG00000274504","RDH13","CHR_HSCHR19LRC_LRC_T_CTG3_1",54988322,55007215,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"71","ENSG00000275474","RDH13","CHR_HSCHR19LRC_LRC_S_CTG3_1",55052029,55070922,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"72","ENSG00000276341","RDH13","CHR_HSCHR19LRC_LRC_I_CTG3_1",55049943,55068836,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"73","ENSG00000276826","RDH13","CHR_HSCHR19LRC_COX2_CTG3_1",54715159,54734052,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"76","ENSG00000278149","RDH13","CHR_HSCHR19LRC_COX1_CTG3_1",54973355,54992248,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"77","ENSG00000278284","RDH13","CHR_HSCHR19LRC_PGF2_CTG3_1",54782118,54801011,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,-17.3505649109413,4.30004106023465,-4.03497656601318,5.46077474170745e-05,0.0217160124863467
"35","ENSG00000230635","CYP4F60P","9",42950566,42951630,"cytochrome P450 family 4 subfamily F member 60, pseudogene [Source:HGNC Symbol;Acc:HGNC:42468]",0.229402419196894,-17.3109119576796,4.30004126513922,-4.02575484519661,5.67928346228748e-05,0.0217160124863467
"26","ENSG00000220868","MRPL35P1","6",13949095,13949666,"mitochondrial ribosomal protein L35 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29705]",0.229402419196894,-17.3109069314463,4.30004126503764,-4.02575367641147,5.67931167436873e-05,0.0217160124863467
"43","ENSG00000235028","HMGN1P30","18",58018794,58019061,"high mobility group nucleosome binding domain 1 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:39374]",0.247189431432986,-17.3000424114822,4.300048322997,-4.02322046451436,5.74077115508595e-05,0.0217160124863467
"34","ENSG00000230371","KARSP2","13",113130416,113132054,"lysyl-tRNA synthetase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39208]",0.572501889915619,-17.2552041109552,4.27657853064061,-4.03481521205,5.46452861022555e-05,0.0217160124863467
"1","ENSG00000008196","TFAP2B","6",50818723,50847619,"transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]",0.245732398459492,-17.2021376264426,4.30004264529606,-4.00045744784893,6.32201549248815e-05,0.0222065363042753
"31","ENSG00000227348","MTND5P25","2",201212283,201213081,"MT-ND5 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42287]",0.245732398459492,-17.2021373829527,4.30004264530017,-4.00045739122011,6.32201700544685e-05,0.0222065363042753
"63","ENSG00000266953","AC092073.1","19",34396315,34409364,"novel protein, readthrough between GPI and PDCD2",0.305635222992748,-17.0572935446585,4.28974679695814,-3.97629378889071,6.99976415462415e-05,0.0235767398676573
"32","ENSG00000229376","CICP3","1",722092,724903,"capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742]",0.311713998904542,-17.0551984206347,4.28905667908739,-3.97644510127193,6.99531386883982e-05,0.0235767398676573
"58","ENSG00000260240","APOOP5","16",59709993,59755026,"apolipoprotein O pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:48743]",0.188071551725941,-16.9239426749228,4.3014518497757,-3.93447218892042,8.33797221817713e-05,0.024342200964375
"19","ENSG00000187902","SHISA7","19",55428740,55442863,"shisa family member 7 [Source:HGNC Symbol;Acc:HGNC:35409]",0.188071551725941,-16.923942547002,4.30145184977388,-3.9344721591831,8.33797325043262e-05,0.024342200964375
"28","ENSG00000224442","AC017035.1","2",197028711,197030143,"ribosomal protein L4 (RPL4) pseudogene",0.188071551725941,-16.923942547002,4.30145184977388,-3.9344721591831,8.33797325043262e-05,0.024342200964375
