"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"56","ENSG00000258864","AC008575.1","5",112827213,112867582,"novel transcript",1.38993527828736,20.5893541859705,4.26895231380156,4.82304618850039,1.41382214757427e-06,0.00197823483122432
"35","ENSG00000228978","TNF","CHR_HSCHR6_MHC_APD_CTG1",31643520,31645322,"tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]",0.936858617985909,18.2053844487764,4.27321267923789,4.26035065776864,2.04106425907472e-05,0.0137374001258137
"49","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,18.1302461990505,4.29595979884826,4.22030164339788,2.43975646010912e-05,0.0154430774980954
"41","ENSG00000236060","HSPB1P1","9",72007881,72008136,"heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]",0.371650725868916,17.9192390559245,4.28325880685021,4.18355272561776,2.86988490049002e-05,0.0165860630607668
"45","ENSG00000237669","AL671277.2","6",30006121,30007116,"HLA complex group 4 pseudogene 3",0.427226883728811,17.724467592646,4.29821725859716,4.12367884782791,3.72868689496072e-05,0.019210753371969
"54","ENSG00000253203","GUSBP3","5",69639459,69679259,"glucuronidase, beta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37301]",0.860806402453705,17.5377366744379,3.7693470616055,4.65272536272315,3.27576412636002e-06,0.00322733638140737
"68","ENSG00000283541","BX005040.4","9",61063752,61113954,"contactin associated protein-like 3B (CNTNAP3B) pseudogene",0.432788296159067,17.3760308758397,4.27639799484187,4.06323988010434,4.83962486806837e-05,0.0212558976393947
"64","ENSG00000281429","FAM20C","CHR_HSCHR7_1_CTG1",196274,199037,"FAM20C, golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]",1.09305852420619,16.9881977336294,4.29672304307555,3.95375674981123,7.69336252904157e-05,0.024641932871635
"55","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,16.9388526578218,4.26717163981384,3.96957378038834,7.20013100161249e-05,0.0239269353347335
"27","ENSG00000198211","AC092143.1","16",89919165,89936092,"novel protein (MC1R-TUBB3 readthrough)",0.724705638835931,16.8713997177159,4.27578865225077,3.94579832865099,7.95345363373822e-05,0.0248642636048195
