"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"71","ENSG00000270025","BMS1P7","10",48050282,48060016,"BMS1, ribosome biogenesis factor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]",1.05057932202328,-29.9841422368772,4.26099198215098,-7.03689243314205,1.96574485807953e-12,7.62095673927281e-09,0.583394393232786
"32","ENSG00000212932","RPL23AP4","21",46690764,46691226,"ribosomal protein L23a pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:10321]",1.56946868566814,-29.9787137859767,4.25819794777814,-7.04023489598908,1.91916021012409e-12,9.22307930769543e-09,0.403397402206607
"62","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",11.6264311532977,-26.6407522138032,4.236043204401,-6.28906527349037,3.19383168105252e-10,7.85760046739405e-07,0.648931723645825
"23","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",5.97939393490148,-26.2195882853754,4.29730712971575,-6.10139966586696,1.0514363340396e-09,1.11833864072015e-06,1.41763030858149
"67","ENSG00000262304","AC027796.3","17",3585149,3636249,"novel readthrough SHPK-TRPV1 protein",2.28118609755304,-25.8046298176391,3.95315697392374,-6.52760059563899,6.68316217003193e-11,1.09200581376868e-07,1.10736714749921
"70","ENSG00000269981","AL627309.7","1",137682,137965,"novel pseudogene",0.608870740549018,-25.7571242088552,4.25500382431703,-6.05337275178347,1.41844126751883e-09,1.5115333435814e-06,1.10736714749921
"49","ENSG00000237733","RNF39","CHR_HSCHR6_MHC_MANN_CTG1",30065423,30071044,"ring finger protein 39 [Source:HGNC Symbol;Acc:HGNC:18064]",1.5855507091487,-25.391846155541,4.30436137749437,-5.89909720134185,3.6549588231528e-09,3.73254847632714e-06,1.10736714749921
"69","ENSG00000268869","ESPNP","1",16687339,16720157,"espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]",0.358088860322377,-25.3283911268359,4.30011425698884,-5.89016700792786,3.85805524393751e-09,1.45650226823569e-06,3.38457063430077
"29","ENSG00000196826","AC008758.1","19",12461559,12551474,"novel zinc finger protein",6.74481785414038,-22.6595606207312,4.23683583161738,-5.34822719625677,8.88199265632174e-08,5.97393330886286e-05,1.34510017784311
"34","ENSG00000215450","AL022342.1","20",47160838,47161700,"ribosomal protein S2 (RPS2) pseudogene",0.466062093218506,-21.2675010382748,4.32794324796579,-4.91399720832081,8.92380206631555e-07,0.000268942098239945,2.25142245735161
