"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"32","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",27.1618802512846,-22.2034124210439,4.69296590939918,-4.7312111039576,2.23184273614184e-06,0.00241401689947942
"29","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",36.9448957601577,-21.062816753337,4.5728286059101,-4.60608051789096,4.10329561542195e-06,0.00409682503387456
"17","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",8.93971429286633,-8.37382694335753,1.35502925667913,-6.17981265133707,6.4177716199903e-10,1.28153025756406e-06
"25","ENSG00000171564","FGB","4",154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,-7.94388114754569,1.17471011956364,-6.7624182470621,1.35707259027015e-11,3.91424970786919e-08
"34","ENSG00000256069","A2MP1","12",9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,-7.68202091515476,1.12147350084376,-6.84993529439177,7.38833993406595e-12,2.39742395435522e-08
"28","ENSG00000198650","TAT","16",71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,-7.28172666992997,0.855149478246727,-8.51515069021542,1.66373814436372e-17,1.43963261631793e-13
"24","ENSG00000171557","FGG","4",154604134,154612967,"fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]",6.05878464679844,-7.09935302133862,1.11660773810959,-6.35796509287832,2.04443912775439e-10,4.82469048339783e-07
"16","ENSG00000146678","IGFBP1","7",45888360,45893660,"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]",18.9552109963461,-6.99882169520288,1.37740836766372,-5.08115229986143,3.75152181002547e-07,0.000512556603507637
"8","ENSG00000131482","G6PC","17",42900797,42913369,"glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]",9.86570292245402,-6.9465621902085,0.954988482705488,-7.27397483426067,3.49061042799432e-13,1.81225512200609e-09
"11","ENSG00000136872","ALDOB","9",101420560,101449664,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",51.1895416765798,-6.69537391002554,0.926903962507038,-7.22337392097911,5.07133173155967e-13,2.19411167365929e-09
"27","ENSG00000196565","HBG2","11",5253188,5505605,"hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]",5.78668370061645,-6.65851244955869,1.1790200493941,-5.64749721854221,1.62800468860354e-08,2.81742491409728e-05
"1","ENSG00000047457","CP","3",149162410,149221829,"ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]",5.38377770596086,-6.36551268197842,1.07208447826567,-5.93751034645705,2.89382788512646e-09,5.36577700499984e-06
