"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"92","ENSG00000269711","AC008763.3","19",7678501,7682854,"novel protein",22.814215590415,23.338044914366,4.20962606791317,5.54397101734389,2.95687798991284e-08,7.57633380677831e-05,0.320986087094337
"5","ENSG00000073734","ABCB11","2",168915498,169031324,"ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]",1.04300915981162,19.8933670113554,4.02829270744514,4.93841149492147,7.87615095613634e-07,0.000428978698775639,1.10736714749921
"103","ENSG00000284741","PDE11A","2",177628069,178108339,"phosphodiesterase 11A [Source:NCBI gene;Acc:50940]",2.47137431071991,19.6049620852508,3.88218285233044,5.04998420501552,4.41846597012198e-07,0.00041999650602454,0.648931723645825
"71","ENSG00000233924","RPSAP13","14",55004813,55005687,"ribosomal protein SA pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:6505]",0.578451753168975,18.9248302020268,4.25911826208554,4.44336809580863,8.8561458966967e-06,0.00493715884519412,0.673570506435109
"65","ENSG00000213368","ST13P11","11",94913047,94913766,"ST13, Hsp70 interacting protein pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:38746]",0.430323458488491,17.7983661588841,4.2824903398658,4.1560785305687,3.23756580668568e-05,0.00662595554216035,1.67868357374961
"23","ENSG00000130283","GDF1","19",18868545,18896158,"growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]",1.41717509125328,17.3587509996458,4.29651543166805,4.04019286692206,5.34072636484359e-05,0.0195939644309747,0.648931723645824
"87","ENSG00000260413","AC025279.2","16",29312350,29331277,"BTG3 associated nuclear protein (BANP) pseudogene",0.437820682583263,17.3575066784038,4.27362080592757,4.06154581013101,4.87488496951477e-05,0.00493715884519412,3.67104963967565
"40","ENSG00000160683","CXCR5","11",118883766,118897799,"C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]",1.23079790604092,17.2125618515856,4.29662750736322,4.0060633187513,6.1739105100272e-05,0.0290480538226982,0.403397402206607
"105","ENSG00000285505","AC010616.2","19",41956879,41994232,"novel protein, ATP1A3-RABAC1 readthrough",0.640598840500808,17.0310590927542,4.27382357856854,3.98497008116056,6.74886284974288e-05,0.0234309230739605,0.583394393232786
"72","ENSG00000236765","DXO","CHR_HSCHR6_MHC_DBB_CTG1",31951992,31954474,"decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]",0.857403953298845,16.7913645080586,3.76581219005996,4.45889589299757,8.23829203322602e-06,0.00613713005263846,0.473158859368692
