"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15","ENSG00000151224","MAT1A",10,80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",8.93971429286633,8.39581881003449,1.35501780215909,6.19609483850068,5.7881258546519e-10,2.07554957990499e-06
"21","ENSG00000171557","FGG",4,154604134,154612967,"fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]",6.05878464679844,7.84021234289543,1.11659941147159,7.02150857536516,2.19485342365229e-12,8.9948228806162e-09
"10","ENSG00000136872","ALDOB",9,101420560,101449664,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]",51.1895416765798,7.66076909313465,0.996892942115599,7.68464573224585,1.53420944237234e-14,7.52916261023466e-11
"22","ENSG00000171564","FGB",4,154562956,154571086,"fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]",5.63586248436827,7.23670391344065,1.17470111981131,6.16046396091208,7.25321212607783e-10,2.31192106956439e-06
"23","ENSG00000196565","HBG2",11,5253188,5505605,"hemoglobin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4832]",5.78668370061645,7.16720361228451,1.30894782388863,5.47554568752185,4.36165406061322e-08,8.61685939003291e-05
"5","ENSG00000124253","PCK1",20,57561080,57568121,"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]",2.82437497630641,6.77753525265835,1.2390845116248,5.46979256787821,4.50562592290911e-08,8.61685939003291e-05
"27","ENSG00000256069","A2MP1",12,9228533,9275817,"alpha-2-macroglobulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8]",5.49072628184536,6.72447474373911,1.12146513679228,5.99615139439204,2.02048667387005e-09,5.26924556484637e-06
"24","ENSG00000198650","TAT",16,71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,6.5809669401281,0.732682054802638,8.9820228255772,2.65833667297508e-19,2.5419901379212e-15
"7","ENSG00000131482","G6PC",17,42900797,42913369,"glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]",9.86570292245402,6.2750497422868,0.799519595491378,7.84852526151058,4.20957839541128e-15,3.01900438572908e-11
"26","ENSG00000244734","HBB",11,5225464,5229395,"hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]",37.3871864890928,5.63329372743781,0.355585567957208,15.8423013616676,1.5889739595019e-56,4.55828959762309e-52
"14","ENSG00000146678","IGFBP1",7,45888360,45893660,"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]",18.9552109963461,5.58639655139033,1.27773947737172,4.37209356862121,1.23060760535389e-05,0.0147093501561612
"11","ENSG00000140284","SLC27A2",15,50182196,50236385,"solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]",4.41647938720363,5.55944904226537,1.16830626075326,4.7585545237778,1.94984226150177e-06,0.00266357737884291
"17","ENSG00000163220","S100A9",1,153357854,153361023,"S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]",10.193090843353,5.53963883276833,1.09915391745329,5.03991183109596,4.65746364544661e-07,0.000703203471562774
"25","ENSG00000230204","FTH1P5",6,50912712,50913256,"ferritin heavy chain 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:3996]",3.86627745796902,5.42713171253271,1.40541580416171,3.86158437699501,0.00011265409245489,0.0979305439470732
"12","ENSG00000143546","S100A8",1,153390032,153391073,"S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]",13.4573929017386,5.33831456090619,1.09516410819078,4.87444257986607,1.09116116511202e-06,0.00156510701717842
"13","ENSG00000145321","GC",4,71741696,71804041,"GC, vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]",3.33487566652964,5.08847602866286,1.2397022644711,4.10459525201706,4.05023367522271e-05,0.0400651908417635
"1","ENSG00000007001","UPP2",2,157876702,158136154,"uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]",2.33494510432474,5.05352245145085,1.19758286103699,4.21976851528669,2.44553293000217e-05,0.0269826935242201
"3","ENSG00000117601","SERPINC1",1,173903804,173917378,"serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]",9.84670561832301,4.83565969538927,0.629536176021378,7.68130550646076,1.5747542671387e-14,7.52916261023466e-11
