"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"55","ENSG00000240925","RPS20P31","12",120247460,120247791,"ribosomal protein S20 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:35767]",0.459238873465425,-26.3348905667366,4.26952258978713,-6.16811130821295,6.91104902056712e-10,6.12434127372589e-06
"47","ENSG00000233494","AC009963.2","2",107902997,107903134,"pseudogene similar to part of plasminogen (PLG)",0.653575675103002,-25.68067516937,4.28074361385902,-5.9991154542001,1.98395265590654e-09,1.03168133624268e-05
"32","ENSG00000196993","NPIPB9","16",28751787,28772807,"nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]",0.390548432705039,-25.5094817034322,4.27075455778196,-5.97306198665763,2.32841377372807e-09,1.03168133624268e-05
"79","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,-22.302957315417,4.32794324794381,-5.15324625063256,2.56015420668207e-07,0.000523551535266484
"23","ENSG00000180871","CXCR2","2",218125289,218137251,"C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]",0.457100981685739,-21.3714770875065,4.26580673016331,-5.00994968580968,5.44442675190578e-07,0.000964933901329434
"70","ENSG00000257169","AC125612.1","12",96386818,96387194,"small nuclear ribonucleoprotein D1 polypeptide 16kDa (SNRPD1) pseudogene",0.381363367113727,-21.1576894757065,4.27660738176389,-4.94730696250634,7.52472650253567e-07,0.0012282599459333
"40","ENSG00000230118","AC092569.1","2",30746444,30746701,"ribosomal protein L15 (RPL15) pseudogene",0.387317928658602,-21.0856709755077,4.27380268143722,-4.93370250037302,8.06853064345067e-07,0.0012282599459333
"51","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-20.4557374401447,4.30434802866185,-4.75234281799096,2.01073070934509e-06,0.00242978526854269
"86","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,-20.4557374401447,4.30434802866185,-4.75234281799096,2.01073070934509e-06,0.00242978526854269
"71","ENSG00000258524","NT5CP1","14",73571159,73571667,"5',3'-nucleotidase, cytosolic pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20046]",0.504204575069556,-20.0728603289664,4.26315253009215,-4.70845464413457,2.49601888796712e-06,0.00277812436891789
