"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"72","ENSG00000234475","HSPA1A","CHR_HSCHR6_MHC_DBB_CTG1",31797650,31800132,"heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]",26.6743196751361,-29.9994574873882,4.20654921115218,-7.13160740111045,9.92034998376628e-13,2.3782720002611e-08
"105","ENSG00000275300","MCCC2","CHR_HSCHR5_2_CTG1_1",70802600,70819771,"methylcrotonoyl-CoA carboxylase 2 [Source:HGNC Symbol;Acc:HGNC:6937]",1.74134334271157,-29.9809957432101,4.25262376593551,-7.04999957517163,1.78918337427956e-12,2.3782720002611e-08
"116","ENSG00000286015","CR589904.2","1",248681249,248748349,"novel protein",0.569940538381134,-27.76230009368,4.26836381808581,-6.5042019089484,7.81069313174855e-11,6.92157589691784e-07
"22","ENSG00000154269","ENPP3","6",131628442,131747418,"ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]",0.727396212228331,-25.6583108958821,4.27205724903825,-6.0060784301658,1.90064277257238e-09,1.26321470272092e-05
"100","ENSG00000263045","AC090286.3","17",18986148,18986334,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1) pseudogene",0.319168757293609,-24.8909571560834,4.32496306095647,-5.75518375654722,8.65475990432486e-09,4.60173584112953e-05
"60","ENSG00000226984","AL035410.1","1",114459934,114460360,"ribosomal protein L26 (RPL26) pseudogene",0.261225993922343,-23.0572913601732,4.31896496169404,-5.33861505353111,9.36592638063622e-08,0.000276180377119345
"94","ENSG00000259753","AC068234.1","17",47253897,47344292,"novel transcript",2.1148858919434,-23.0424963023281,4.08300789643441,-5.64351010010305,1.66617747373451e-08,6.79478928924045e-05
"75","ENSG00000235680","HLA-G","CHR_HSCHR6_MHC_MANN_CTG1",29823861,29828018,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]",3.58232714151009,-22.0538912431513,4.29740422430465,-5.13190989072474,2.8681681214821e-07,0.000635418745913347
"45","ENSG00000203812","HIST2H2AA3","1",149842188,149842736,"histone cluster 2 H2A family member a3 [Source:HGNC Symbol;Acc:HGNC:4736]",61.8699363668858,-21.5447994861362,4.04993246711108,-5.31979228322901,1.03885791656703e-07,0.000276180377119345
"85","ENSG00000244398","AC116533.1","11",16974693,16975013,"ribosomal protein L36a (RPL36A) pseudogene",5.40456714746395,-21.5193445750424,4.2959617759467,-5.0092029904759,5.46559027908893e-07,0.00103787655406842
"91","ENSG00000256861","AC048338.1","12",122207779,122266423,"novel transcript",3.24392896102721,-20.8461223573818,4.26709597763915,-4.88531836795369,1.03261860820172e-06,0.00161483327641428
"15","ENSG00000134917","ADAMTS8","11",130404923,130428609,"ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]",0.490948818449818,-20.8051582111752,4.24658522948352,-4.89926778502584,9.61944655034329e-07,0.00161483327641428
"48","ENSG00000204420","MPIG6B","6",31718594,31726714,"megakaryocyte and platelet inhibitory receptor G6b [Source:HGNC Symbol;Acc:HGNC:13937]",1.05814879335772,-19.9913816693427,4.09117990167158,-4.88645871113481,1.02665845439449e-06,0.00161483327641428
"64","ENSG00000227587","ATP6V1G2","CHR_HSCHR6_MHC_COX_CTG1",31531911,31534293,"ATPase H+ transporting V1 subunit G2 [Source:HGNC Symbol;Acc:HGNC:862]",0.571707378341336,-19.6700203561953,4.27107804300045,-4.60539942332147,4.11674919410395e-06,0.00437775109301014
"49","ENSG00000212802","RPL15P3","6",12514110,12514724,"ribosomal protein L15 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:21538]",0.897450902875688,-19.6008164472698,3.69870557401562,-5.29937191675129,1.16201718835491e-07,0.000280838426840139
"69","ENSG00000232724","TRIM80P","17",75074306,75079549,"tripartite motif containing 80, pseudogene [Source:HGNC Symbol;Acc:HGNC:51490]",0.324437440428706,-19.2461726987008,4.28359250097234,-4.49299803712237,7.02274322330008e-06,0.00691480105894195
"108","ENSG00000281429","FAM20C","CHR_HSCHR7_1_CTG1",196274,199037,"FAM20C, golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]",1.09305852420619,-19.159162136952,4.29672508315894,-4.45901512573997,8.23371111611029e-06,0.00742685899253967
