"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"114","ENSG00000267303","AC011511.4","19",10315471,10320678,"novel transcript",2.23671779325131,21.4188626623068,4.19292706037798,5.10833180589025,3.25015536702526e-07,0.000415824877657212
"120","ENSG00000274049","INO80B-WBP1","2",74455088,74460884,"INO80B-WBP1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49199]",9.19045610878176,21.2744529006357,4.23593964336214,5.02236922425782,5.10379477355902e-07,0.000593617730299219
"91","ENSG00000229944","EIF4EP2","17",49424269,49424922,"eukaryotic translation initiation factor 4E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32428]",1.16131086625963,20.1537905753983,4.27035076327351,4.71946959222363,2.3646038785515e-06,0.0017287281155536
"54","ENSG00000167774","AC010323.1","19",8308283,8321379,"novel transcript",3.22300554406309,19.9195386359342,4.23710766013374,4.70121135305432,2.58622654453958e-06,0.00172873392329251
"42","ENSG00000151224","MAT1A","10",80271820,80289658,"methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]",0.966183886233805,19.6858616708828,4.14016229075027,4.75485265755497,1.98591199498455e-06,0.00156565247579398
"135","ENSG00000284554","AL022318.4","22",39014363,39033276,"novel protein",3.39799677684612,18.2226546216971,4.26847821225895,4.26912208884237,1.96243837050368e-05,0.00809917306845937
"109","ENSG00000259335","HNRNPMP1","15",44447577,44449344,"heterogeneous nuclear ribonucleoprotein M pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48745]",0.5542051611811,18.1825831506021,4.23960763636097,4.28874195684036,1.79687983600107e-05,0.00753746905632712
"128","ENSG00000277263","AL662796.1","CHR_HSCHR6_8_CTG1",32446915,32452117,"",3.38528793106693,17.7756411550038,4.29608545870746,4.13763676860186,3.50901288462281e-05,0.0112235777114661
"101","ENSG00000244752","CRYBB2","22",25212564,25231870,"crystallin beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]",0.472963293003962,17.1536155864631,4.27217795170172,4.01519219947998,5.93973706104145e-05,0.0143383011243329
"103","ENSG00000250741","NT5C1B-RDH14","2",18555545,18589564,"NT5C1B-RDH14 readthrough [Source:HGNC Symbol;Acc:HGNC:38831]",0.410531698393298,16.8414223770876,4.27032750337062,3.94382453425281,8.01923427845827e-05,0.0176893247169992
"133","ENSG00000283765","AC131160.1","3",183815568,183884889,"presenilin associated rhomboid like [Source:NCBI gene;Acc:55486]",2.66158404569105,16.7435037591461,4.27090193354357,3.92036717763127,8.84141554315062e-05,0.019011272346062
"92","ENSG00000230593","PPIAP40","11",3892398,3892887,"peptidylprolyl isomerase A pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:53664]",0.602238727799371,16.6251062001503,3.93922323315871,4.22040214939006,2.43866892787382e-05,0.00945464553430839
